"gene","pLI","oe_lof_upper","category","pli_cat","loefu_cat"
"ABCC6",5.6167e-35,1.026,"minus1","Low","High"
"AIRE",4.0468e-12,1.115,"minus1","Low","High"
"APPL1",0.7952,0.35,"minus1","High","Medium"
"ATAD3A",4.0861e-09,0.827,"minus1","Low","High"
"BPTF",1,0.099,"minus1","High","Low"
"CDKN1C",0.81963,0.529,"minus1","High","Medium"
"COL1A2",1,0.202,"minus1","High","Medium"
"COL6A2",6.5112e-08,0.578,"minus1","Low","Medium"
"DAGLA",0.99999,0.171,"minus1","High","Low"
"DVL3",0.38544,0.422,"minus1","Medium","Medium"
"ELANE",0.0012274,1.129,"minus1","Low","High"
"EYA1",0.94588,0.332,"minus1","High","Medium"
"FOXN1",0.94214,0.349,"minus1","High","Medium"
"GABRG2",0.73852,0.399,"minus1","High","Medium"
"GATA4",0.49308,0.527,"minus1","Medium","Medium"
"GFAP",1.4601e-06,1.026,"minus1","Low","High"
"GFI1B",0.00052334,0.865,"minus1","Low","High"
"GRM1",0.14279,0.415,"minus1","Low","Medium"
"HBB",1.2274e-09,1.978,"minus1","Low","High"
"HSPB1",2.7797e-07,1.872,"minus1","Low","High"
"KAT6B",1,0.128,"minus1","High","Low"
"KISS1R",0.43649,0.648,"minus1","Medium","High"
"LRSAM1",3.1008e-13,0.754,"minus1","Low","High"
"MAT1A",0.00080978,0.809,"minus1","Low","High"
"MSH6",3.6705e-05,0.498,"minus1","Low","Medium"
"MYH7",4.2385e-16,0.575,"minus1","Low","Medium"
"PAFAH1B1",0.99995,0.107,"minus1","High","Low"
"POLG",2.0756e-09,0.555,"minus1","Low","Medium"
"POMP",0.90942,0.387,"minus1","High","Medium"
"PPM1D",2.2321e-11,1.096,"minus1","Low","High"
"PRRT2",0.57919,0.56,"minus1","Medium","Medium"
"RARB",0.99983,0.12,"minus1","High","Low"
"RASA1",1,0.129,"minus1","High","Low"
"RDH12",2.2626e-09,1.435,"minus1","Low","High"
"RORA",0.40096,0.404,"minus1","Medium","Medium"
"RPE65",6.4889e-14,1.111,"minus1","Low","High"
"RPS19",0.92111,0.368,"minus1","High","Medium"
"SCNN1G",0.48199,0.408,"minus1","Medium","Medium"
"SDHD",0.33697,0.731,"minus1","Low","High"
"SERPING1",0.96351,0.322,"minus1","High","Medium"
"SIX3",0.94714,0.323,"minus1","High","Medium"
"SOX9",0.99772,0.168,"minus1","High","Low"
"SQSTM1",0.00086035,0.802,"minus1","Low","High"
"STAG1",1,0.119,"minus1","High","Low"
"STUB1",0.018667,0.68,"minus1","Low","High"
"SYCP3",9.1772e-05,0.949,"minus1","Low","High"
"TCAP",0.18939,0.948,"minus1","Low","High"
"TGFBR2",0.12535,0.519,"minus1","Low","Medium"
"THRA",0.32748,0.454,"minus1","Low","Medium"
"TMEM127",0.012865,1.154,"minus1","Low","High"
"TP63",0.99728,0.267,"minus1","High","Medium"
"VHL",0.079515,0.927,"minus1","Low","High"
"WNT1",0.3263,0.603,"minus1","Low","High"
"WNT10A",4.1667e-09,1.369,"minus1","Low","High"
"ZIC2",0.97362,0.267,"minus1","High","Medium"
"ARID1A",1,0.071,"plus1","High","Low"
"CHRND",5.4466e-09,0.978,"plus1","Low","High"
"COL3A1",1,0.098,"plus1","High","Low"
"COL5A1",1,0.055,"plus1","High","Low"
