hgnc_symbol,pLI,oe_lof_upper,group,pli_cat,loeuf_cat
A2ML1,1.6109e-34,0.952,snv_control,Low,High
AAGAB,3.8664e-7,1.037,snv_control,Low,High
AAGAB,3.8664e-7,1.037,fs_control,Low,High
ABCA1,1.4525e-13,0.486,fs_control,Low,Medium
ABCA1,1.4525e-13,0.486,snv,Low,Medium
ABCA4,5.3499e-48,0.91,fs_control,Low,High
ABCA4,5.3499e-48,0.91,snv,Low,High
ABCB6,8.599900000000001e-19,0.977,snv_control,Low,High
ABCC11,3.9884e-46,1.236,snv_control,Low,High
ABCC8,7.9571e-24,0.765,snv,Low,High
ABL1,0.99998,0.176,snv_control,High,Low
ACD,1.1148e-12,1.187,fs_control,Low,High
ACD,1.1148e-12,1.187,snv_control,Low,High
ACO2,0.20791,0.417,snv_control,Low,Medium
ACOX1,0.062095,0.462,snv_control,Low,Medium
ACTA2,0.93017,0.364,snv_control,High,Medium
ACTC1,0.73668,0.48,snv_control,High,Medium
ACTL6B,2.8347e-4,0.645,snv_control,Low,High
ACTL6B,2.8347e-4,0.645,fs_control,Low,High
ACTN1,0.99997,0.213,snv_control,High,Medium
ACTN2,0.99968,0.239,fs_control,High,Medium
ACTN2,0.99968,0.239,snv_control,High,Medium
ACVRL1,9.6719e-4,0.692,snv,Low,High
ADAR,0.026282,0.42,snv,Low,Medium
ADCY10,7.3834e-41,1.034,fs_control,Low,High
ADCY10,7.3834e-41,1.034,snv_control,Low,High
ADCY5,0.99928,0.254,snv_control,High,Medium
ADCY5,0.99928,0.254,fs_control,High,Medium
ADIPOQ,4.6434e-9,1.906,snv_control,Low,High
AFF4,1,0.138,snv_control,High,Low
AFG3L2,5.2511e-9,0.7,snv_control,Low,High
AFP,1.1383e-11,0.909,snv_control,Low,High
AGO2,1,0.106,snv,High,Low
AKAP9,4.5249e-17,0.404,snv_control,Low,Medium
ALB,0.64329,0.387,fs_control,Medium,Medium
ALB,0.64329,0.387,snv_control,Medium,Medium
ALDH18A1,8.1212e-4,0.519,snv_control,Low,Medium
ALG10B,2.0263e-8,1.365,snv_control,Low,High
ALG5,0.46347,0.453,snv_control,Medium,Medium
ALG8,1.1804e-8,0.83,snv,Low,High
ALPL,3.636e-4,0.693,snv,Low,High
ANK1,1,0.169,snv,High,Low
ANK2,1,0.106,snv_control,High,Low
ANK2,1,0.106,fs_control,High,Low
