"","x"
"1","CFH"
"2","CFTR"
"3","KRIT1"
"4","CASP10"
"5","KDM1A"
"6","SLC4A1"
"7","CALCR"
"8","HOXA11"
"9","CREBBP"
"10","MPO"
"11","ABCB4"
"12","KMT2E"
"13","ITGA2B"
"14","TMEM98"
"15","ABCC8"
"16","CACNA1G"
"17","RALA"
"18","TBXA2R"
"19","PROM1"
"20","PAFAH1B1"
"21","SCN4A"
"22","PAX6"
"23","JARID2"
"24","TFAP2B"
"25","CRY1"
"26","NFIX"
"27","PKD1"
"28","RHOBTB2"
"29","METTL13"
"30","UQCRC1"
"31","FUZ"
"32","HIVEP2"
"33","CLCN6"
"34","ANLN"
"35","DCN"
"36","BRCA1"
"37","ELOVL5"
"38","ALOX5"
"39","CLDN11"
"40","POLR3B"
"41","CCDC88C"
"42","ZMYND11"
"43","MATR3"
"44","ATP2C1"
"45","ATP1A2"
"46","NCDN"
"47","SLC7A9"
"48","SPAST"
"49","GABRA1"
"50","RRAGD"
"51","SEC63"
"52","VIM"
"53","FAS"
"54","IFNGR1"
"55","ANK1"
"56","GRN"
"57","ARHGAP31"
"58","ZCCHC8"
"59","ATP6V0A1"
"60","MYOC"
"61","VCL"
"62","CUL3"
"63","CASR"
"64","FLT4"
"65","TLL1"
"66","TRIO"
"67","VCAN"
"68","CDH1"
"69","RTN4R"
"70","TNC"
"71","AP2S1"
"72","ZIC2"
"73","ADRB1"
"74","CTNNA1"
"75","DSG2"
"76","WDR37"
"77","HDAC9"
"78","RRM2B"
"79","GUCA1A"
"80","CELF2"
"81","COL9A2"
"82","KITLG"
"83","PER3"
"84","ELN"
"85","ARID1B"
"86","NEDD4L"
"87","RAD51"
"88","ALX4"
"89","KCNQ1"
"90","KIF1B"
"91","FOXC1"
"92","SYNE2"
"93","KCNH2"
"94","CYFIP2"
"95","TAB2"
"96","EIF2AK2"
"97","KMT2C"
"98","PKP2"
"99","SEC61A1"
"100","PPP1R12A"
"101","CAMK2B"
"102","ALDH18A1"
"103","WNK1"
"104","CREB3L3"
"105","COL11A1"
"106","PRDM6"
"107","POLD1"
"108","BICRA"
"109","RPL18"
"110","U2AF2"
"111","HAGH"
"112","CASP8"
"113","DLX3"
"114","CDON"
"115","TNPO3"
"116","SLC12A2"
"117","ABCA7"
"118","POU1F1"
"119","GNAI3"
"120","NTN1"
"121","ERBB3"
"122","SPEN"
"123","MYLK"
"124","COL17A1"
"125","CDK13"
"126","TIE1"
"127","DIP2B"
"128","SMARCD1"
"129","ELOVL1"
"130","SPI1"
"131","ATXN3"
"132","FGFR2"
"133","ARFGEF1"
"134","TNFRSF1A"
"135","SYT1"
"136","CBFB"
"137","HDAC4"
"138","FGFR3"
"139","MEF2A"
"140","REEP1"
"141","ATP11A"
"142","POLR1A"
"143","KIF2A"
"144","PITX1"
"145","VPS35"
"146","ABCC9"
"147","GAL"
"148","RORA"
"149","DRD4"
"150","LRP6"
"151","GUCY2C"
"152","ELP1"
"153","SPTB"
"154","FGF10"
"155","CAMK2A"
"156","TCOF1"
"157","CDC42"
"158","ATP2B1"
"159","TCF3"
"160","CPSF1"
"161","PRKACA"
"162","ADGRL1"
"163","ACTN1"
"164","SREBF1"
"165","AFF4"
"166","HMMR"
"167","P4HA2"
"168","FCGR2B"
"169","FBXW11"
"170","EVC"
"171","MCM2"
"172","TP63"
"173","ALPK1"
"174","SDHA"
"175","SMARCE1"
"176","IGF2BP2"
"177","NSF"
"178","GLI2"
"179","NOTCH3"
"180","EED"
"181","SNCB"
"182","KCNQ2"
"183","SEMA3A"
"184","CELSR1"
"185","FOSL2"
"186","ACTB"
"187","RAB7A"
"188","TUBA3D"
"189","PAX2"
"190","MCM6"
"191","MLH1"
"192","ACTL6B"
"193","RARB"
"194","TOP2B"
"195","NFKB2"
"196","TYR"
"197","ACTN2"
"198","FGFR1"
"199","FBLN1"
"200","GNB1"
"201","EDN1"
"202","MLLT10"
"203","THOC1"
"204","SLC1A3"
"205","CIC"
"206","KIF22"
"207","DNM2"
"208","SMARCA2"
"209","SRCAP"
"210","KCNN2"
"211","PSEN1"
"212","CPOX"
"213","AP4E1"
"214","AFP"
"215","COL4A4"
"216","IMPG2"
"217","MEF2C"
"218","CACNA1S"
"219","ATP8B1"
"220","RNF13"
"221","TRPM3"
"222","PALB2"
"223","KAT6A"
"224","GRHL2"
"225","CYLD"
"226","CHMP2B"
"227","STARD7"
"228","REST"
"229","HAL"
"230","WBP11"
"231","APOB"
"232","MECOM"
"233","SLC25A24"
"234","RAD54L"
"235","EIF2AK1"
"236","FAT2"
"237","FTL"
"238","CETP"
"239","GNAO1"
"240","SH3BP2"
"241","SF3B2"
"242","GNAS"
"243","DNM1L"
"244","PTHLH"
"245","AURKA"
"246","CNOT3"
"247","GNA11"
"248","EPB41L1"
"249","OAS1"
"250","TBX5"
"251","FUS"
"252","GANAB"
"253","SPTLC1"
"254","CCNK"
"255","DNAJB11"
"256","THPO"
"257","MCOLN1"
"258","USP48"
"259","AARS1"
"260","TNRC6A"
"261","POU4F3"
"262","NLRC4"
"263","ABCC6"
"264","FH"
"265","NLRP1"
"266","PITPNM3"
"267","ZFHX4"
"268","ESR1"
"269","ANGPT2"
"270","PPP2R3C"
"271","MYH7"
"272","CEBPE"
"273","HNRNPC"
"274","SUPT16H"
"275","TINF2"
"276","TRPM7"
"277","CAPN3"
"278","COL9A3"
"279","AGO1"
"280","TGFB2"
"281","COMT"
"282","MSH2"
"283","MAP3K1"
"284","ARCN1"
"285","IKZF5"
"286","MYO3A"
"287","WAC"
"288","EFHC1"
"289","ITPR3"
"290","DSP"
"291","JAK2"
"292","ABL1"
"293","MAST3"
"294","STX1B"
"295","SETD1A"
"296","MTAP"
"297","POLRMT"
"298","HCN2"
"299","SERPIND1"
"300","LZTR1"
"301","SMARCB1"
"302","SPECC1L"
"303","MAPK1"
"304","PRODH"
"305","CRYBB3"
"306","CRYBB1"
"307","SOX10"
"308","DEPDC5"
"309","TCF20"
"310","TIMP3"
"311","TOM1"
"312","NEFH"
"313","PDGFB"
"314","MIEF1"
"315","APOL4"
"316","APOL1"
"317","MYH9"
"318","CACNA1I"
"319","TNRC6B"
"320","KCTD17"
"321","EP300"
"322","ACO2"
"323","COCH"
"324","SOS2"
"325","SPTLC2"
"326","DICER1"
"327","YY1"
"328","PABPN1"
"329","SRP54"
"330","CHD8"
"331","NFKBIA"
"332","SEC23A"
"333","VSX1"
"334","HNF4A"
"335","SALL4"
"336","ADNP"
"337","DNAJC5"
"338","PRPF6"
"339","TUBB1"
"340","SLC17A9"
"341","AVP"
"342","CHRNA4"
"343","EEF1A2"
"344","CSNK2A1"
"345","PROKR2"
"346","MYLK2"
"347","SEC23B"
"348","PDYN"
"349","PLCB4"
"350","HCK"
"351","POFUT1"
"352","SAMHD1"
"353","KIF3B"
"354","NOP56"
"355","JAG1"
"356","SNTA1"
"357","CHMP4B"
"358","SLC32A1"
"359","CST3"
"360","TNNC2"
"361","SMCHD1"
"362","RNF125"
"363","MIB1"
"364","NALCN"
"365","FGF14"
"366","HTR2A"
"367","FGF9"
"368","KPNA3"
"369","VWA8"
"370","HSF4"
"371","ZNF423"
"372","CTCF"
"373","ACD"
"374","COG4"
"375","NPRL3"
"376","TSC2"
"377","ABCC1"
"378","FOXF1"
"379","CLCN7"
"380","STUB1"
"381","MEFV"
"382","CRYM"
"383","PIEZO1"
"384","SALL1"
"385","KAT8"
"386","SLC6A2"
"387","AAGAB"
"388","HOMER2"
"389","DMXL2"
"390","RP1"
"391","EYA1"
"392","TRPA1"
"393","IKBKB"
"394","JPH1"
"395","GDAP1"
"396","TRPS1"
"397","SLC39A14"
"398","ARHGEF10"
"399","KCNN4"
"400","TUBB4A"
"401","RETN"
"402","DMPK"
"403","NOVA2"
"404","TNNT1"
"405","DYRK1B"
"406","AKT2"
"407","PLD3"
"408","PRX"
"409","FZR1"
"410","TGFB1"
"411","MYH14"
"412","LIM2"
"413","RPS19"
"414","CRX"
"415","ATP1A3"
"416","GRIN2D"
"417","CARD8"
"418","PPP2R1A"
"419","TNPO2"
"420","KLF1"
"421","MAST1"
"422","PRPF31"
"423","PIK3R2"
"424","COMP"
"425","SCN1B"
"426","ERF"
"427","DLX5"
"428","GSDME"
"429","CAV1"
"430","MET"
"431","LMBR1"
"432","DNAJB6"
"433","HOXA2"
"434","TSPAN12"
"435","SSBP1"
"436","HOXA13"
"437","GARS1"
"438","CHCHD2"
"439","HSPB1"
"440","PAX4"
"441","PPP1R17"
"442","IMPDH1"
"443","SERPINE1"
"444","NOBOX"
"445","TMEM106B"
"446","EZH2"
"447","POU6F2"
"448","GLI3"
"449","BLVRA"
"450","PRKAG2"
"451","GCK"
"452","TGFBR1"
"453","C5"
"454","ASPN"
"455","DNM1"
"456","ENG"
"457","KCNT1"
"458","RIGI"
"459","SETX"
"460","DVL1"
"461","GATA3"
"462","BMPR1A"
"463","MINPP1"
"464","ACTA2"
"465","TWNK"
"466","FGF8"
"467","PITX3"
"468","GBF1"
"469","SUFU"
"470","ANKRD26"
"471","EBF3"
"472","SMC3"
"473","SHOC2"
"474","ZMIZ1"
"475","LGI1"
"476","CRYBA1"
"477","UBTF"
"478","RNF43"
"479","MED13"
"480","SLC25A11"
"481","CHRNE"
"482","RAI1"
"483","SLC6A4"
"484","CCL2"
"485","NAGLU"
"486","DLX4"
"487","COL1A1"
"488","EFTUD2"
"489","PRKAR1A"
"490","NHERF1"
"491","MYH3"
"492","PMP22"
"493","FOXN1"
"494","UNC119"
"495","PHOX2B"
"496","CHIC2"
"497","NFKB1"
"498","WFS1"
"499","CLCN3"
"500","SLC2A9"
"501","FBXW7"
"502","NSD2"
"503","RAPGEF2"
"504","UFSP2"
"505","CRYAB"
"506","ELP4"
"507","TECTA"
"508","KMT5B"
"509","CCND1"
"510","PANX1"
"511","APOA5"
"512","DDX6"
"513","CBL"
"514","SLC1A2"
"515","SOX6"
"516","AIP"
"517","VWF"
"518","MVK"
"519","ATP5F1B"
"520","TRPV4"
"521","MYL2"
"522","CUX2"
"523","KCNA1"
"524","ALDH2"
"525","CDKN1B"
"526","SCNN1A"
"527","IFNG"
"528","CNOT2"
"529","TIMELESS"
"530","CHD4"
"531","ATN1"
"532","COL12A1"
"533","GCNT2"
"534","CEP85L"
"535","RIPOR2"
"536","SASH1"
"537","SLC26A8"
"538","RHAG"
"539","PHACTR1"
"540","CILK1"
"541","BACH2"
"542","COL9A1"
"543","WASF1"
"544","GMNN"
"545","EYA4"
"546","FIG4"
"547","PERP"
"548","PDE10A"
"549","TBP"
"550","GUCA1B"
"551","PRPH2"
"552","PPP2R5D"
"553","IMPG1"
"554","LAMA4"
"555","TBX18"
"556","GHR"
"557","HSPA9"
"558","LOX"
"559","CERT1"
"560","PDE8B"
"561","GABRG2"
"562","LMNB1"
"563","PDE4D"
"564","PRLR"
"565","PPP2CA"
"566","NR3C1"
"567","C9"
"568","PDGFRB"
"569","EHHADH"
"570","KNG1"
"571","HRG"
"572","UBE3A"
"573","PDCD10"
"574","WNT5A"
"575","COL7A1"
"576","FGF12"
"577","GNAT1"
"578","GNAI2"
"579","TFG"
"580","NPRL2"
"581","GNB4"
"582","ATP6V1A"
"583","MAPKAPK3"
"584","KLHL24"
"585","TNNC1"
"586","CLCN2"
"587","FOXP1"
"588","EIF4G1"
"589","SLC4A3"
"590","LMAN2L"
"591","PIKFYVE"
"592","STEAP3"
"593","POMC"
"594","GPD2"
"595","ACVR1"
"596","IFIH1"
"597","SPTBN1"
"598","EFEMP1"
"599","FN1"
"600","STAT1"
"601","GLS"
"602","ELMOD3"
"603","KCNJ13"
"604","IL1R1"
"605","ABCB6"
"606","SLC5A7"
"607","PROC"
"608","ODC1"
"609","SOS1"
"610","TIA1"
"611","KISS1R"
"612","EPAS1"
"613","NFE2L2"
"614","MSH6"
"615","SPR"
"616","PRRX1"
"617","CHD5"
"618","ASH1L"
"619","IVNS1ABP"
"620","MFN2"
"621","RPE65"
"622","TNNI3K"
"623","CFHR3"
"624","RRAGC"
"625","KCNQ4"
"626","AKT3"
"627","SDHB"
"628","ECE1"
"629","CD46"
"630","PRPF3"
"631","SLC2A1"
"632","MPL"
"633","FASLG"
"634","HSD11B1"
"635","IRF6"
"636","SERPINC1"
"637","DHDDS"
"638","ARID1A"
"639","MUC5B"
"640","STAG1"
"641","STK11"
"642","KMT2A"
"643","APOA1"
"644","TNNT2"
"645","CRYGD"
"646","TTR"
"647","ELOVL4"
"648","TNFAIP3"
"649","PKD2"
"650","ABCG2"
"651","CCND2"
"652","FGF23"
"653","SATB2"
"654","SET"
"655","CSF3R"
"656","IRF2BPL"
"657","MLH3"
"658","DLST"
"659","TGFB3"
"660","DNMT3A"
"661","BCL11A"
"662","EPCAM"
"663","WDR11"
"664","KANSL1"
"665","MSX2"
"666","TEK"
"667","GRIA2"
"668","KCNJ5"
"669","SMAD9"
"670","ALG5"
"671","TGFBI"
"672","MYOT"
"673","KDM3B"
"674","PLS1"
"675","CHRNA2"
"676","EPHX2"
"677","RNF170"
"678","UBIAD1"
"679","TARDBP"
"680","SPOP"
"681","TBX2"
"682","TBX4"
"683","ABCC11"
"684","LHX4"
"685","RNF2"
"686","GJA8"
"687","MAPK8IP1"
"688","ZMYM2"
"689","GJB6"
"690","GJA3"
"691","GHSR"
"692","CXCR4"
"693","RPL21"
"694","PLG"
"695","COPA"
"696","ANXA11"
"697","LDB3"
"698","RPL5"
"699","ZNF644"
"700","KLHL7"
"701","HNRNPA2B1"
"702","TWIST1"
"703","SFTPA1"
"704","PLAU"
"705","BICC1"
"706","EGR2"
"707","MED13L"
"708","BHLHE41"
"709","GIPC1"
"710","OPTN"
"711","MMP19"
"712","LRP1"
"713","COL10A1"
"714","TTC21B"
"715","KCNJ2"
"716","AGO2"
"717","SLC12A5"
"718","PIGT"
"719","VAPB"
"720","PLCG1"
"721","EDN3"
"722","STX16"
"723","F13A1"
"724","SLC17A3"
