study_gene,ctrl_gene,group,study_pLI,ctrl_pLI,study_LOEUF,ctrl_LOEUF
ACVRL1,CDK19,Stopgain,0.50534,0.48967,0.57,0.655
AGO2,ABCB6,Stopgain,1,1.9005000000000001e-25,0.102,0.985
ARID1A,PHIP,Stopgain,1,1,0.141,0.247
BARD1,SOX5,Stopgain,1.1319000000000002e-19,1,1.089,0.204
BRCA1,LAMA4,Stopgain,1.4282e-34,3.0633000000000005e-19,0.885,0.709
C1S,TRAF3,Stopgain,1.7755e-4,1,0.783,0.321
CASR,LGR4,Stopgain,0.99683,0.011697,0.469,0.726
CCND2,TMEM106B,Stopgain,0.99932,0.045865,0.385,0.814
CFH,JARID2,Stopgain,0.99997,1,0.431,0.202
CFTR,MAP3K1,Stopgain,2.1646e-39,1,1.153,0.355
CNNM2,TLR3,Stopgain,1,1.2583e-8,0.312,0.797
CRB1,MET,Stopgain,8.8555e-17,0.99984,0.777,0.446
CREBBP,CACNA1G,Stopgain,1,1,0.101,0.406
DSP,CACNA1H,Stopgain,0.9999,6.0091e-47,0.444,1.06
EDAR,TNFRSF1A,Stopgain,1.2156e-9,0.99985,0.927,0.382
EP300,SCN10A,Stopgain,1,6.7166e-48,0.164,1.059
EPOR,IFNGR1,Stopgain,4.1302e-4,4.5748e-4,0.788,0.882
EVC2,KDR,Stopgain,1.5783e-47,1,1.093,0.329
F2,LBR,Stopgain,0.14962,0.97208,0.553,0.499
FBN1,VWF,Stopgain,1,4.5035000000000005e-27,0.106,0.64
FBXO11,PACS2,Stopgain,1,0.32742,0.215,0.561
FH,LYN,Stopgain,0.26382,1,0.599,0.282
FLG,SAMD9,Stopgain,2.0386e-4,0.026057,1.932,1.773
FLNC,ITPR3,Stopgain,1,1.2079999999999999e-29,0.425,0.671
GLI2,ABL1,Stopgain,1,1,0.365,0.19
GRIN2B,HCN4,Stopgain,1,0.14542,0.102,0.572
HIVEP2,ZNF462,Stopgain,1,1,0.114,0.082
HNRNPR,CACNB2,Stopgain,1,8.8065e-6,0.129,0.771
KAT6A,GRIN2D,Stopgain,1,7.0893e-4,0.083,0.643
KAT6B,TET3,Stopgain,1,1,0.098,0.213
KCNB1,FAM111B,Stopgain,1,0.1073,0.309,1.818
KIF21A,NEFH,Stopgain,2.6557e-8,1.3226e-22,0.608,1.418
LGI1,IKZF1,Stopgain,1,1,0.33,0.32
LRSAM1,HDC,Stopgain,4.1770999999999997e-26,0.030561,0.945,0.607
MFN2,IRF2BP2,Stopgain,5.4335e-4,0.41099,0.602,0.71
MLH1,ZCCHC8,Stopgain,8.378e-4,7.3119e-4,0.64,0.71
MN1,ZNF644,Stopgain,0.9922,1,0.482,0.224
MSH6,ABCC11,Stopgain,7.5535e-20,3.7404999999999997e-38,0.842,1.005
MYH9,DICER1,Stopgain,1,1,0.159,0.276
NAGLU,HRG,Stopgain,2.34e-9,6.7742e-5,1.03,1.288
NARS1,KAT5,Stopgain,3.1827e-12,0.026483,0.92,0.595
NKX2-1,TFG,Stopgain,0.96326,0.49073,0.523,0.592
NKX2-5,APOL1,Stopgain,0.99954,5.1751e-8,0.321,1.681
NOTCH2,CACNA1I,Stopgain,1,0.0049925,0.151,0.526
NOTCH3,CACNA1S,Stopgain,1.3894e-7,5.7202e-18,0.566,0.651
NR3C2,STOX1,Stopgain,1,6.5467e-15,0.269,0.934
NSD1,KMT2B,Stopgain,1,1,0.144,0.127
ODC1,BSCL2,Stopgain,0.22796,7.259e-10,0.618,0.869
OPLAH,CDON,Stopgain,9.700099999999999e-36,4.6495e-12,1.164,0.734
PALB2,LAMB3,Stopgain,1.1821e-19,5.9054e-23,0.9,0.829
PKD1,LRP1,Stopgain,1,1,0.364,0.118
PLEC,FAT2,Stopgain,5.106499999999999e-44,3.0238e-13,0.727,0.555
POGZ,KCNH5,Stopgain,1,0.10261,0.198,0.556
PPM1D,WBP11,Stopgain,3.5788e-17,1,1.184,0.321
PPOX,SLC39A14,Stopgain,0.23751,0.36912,0.581,0.593
PRPF8,F5,Stopgain,1,4.7367e-24,0.261,0.705
RARB,TUBG1,Stopgain,0.99401,0.31179,0.477,0.583
RASA1,KIF5A,Stopgain,1,1,0.3,0.315
RHO,GNB2,Stopgain,4.9654e-5,0.99976,0.911,0.372
RP1,RBM12,Stopgain,7.8022e-7,1.9435e-5,1.448,0.873
RP1L1,ENAM,Stopgain,3.1458e-13,0.0011675,1.944,0.892
SATB1,POU6F2,Stopgain,1,0.029227,0.209,0.593
SCN5A,CUX1,Stopgain,1,1,0.373,0.278
SEMA6B,ATXN1,Stopgain,2.4419e-10,1,0.826,0.264
SERPING1,SERPIND1,Stopgain,0.99999,1.9534e-11,0.278,1.234
SLC3A1,TBX2,Stopgain,1.6316e-33,6.7206e-4,1.532,0.833
SLC4A1,THSD1,Stopgain,0.99999,9.322e-8,0.408,0.861
SLCO2A1,EIF2AK1,Stopgain,1.5426e-17,2.163e-11,1.037,0.885
SMARCD1,ANXA11,Stopgain,1,1.4914e-14,0.339,1.087
SNAP25,CSRP3,Stopgain,0.99953,1.0261e-7,0.291,1.308
SPR,COMT,Stopgain,5.8593e-6,4.9511e-4,1.53,1.129
STXBP1,MYLK2,Stopgain,1,0.010047,0.099,0.636
TEK,TIE1,Stopgain,1,4.2351e-20,0.369,0.819
TGFB3,NR2F2,Stopgain,1,1,0.249,0.197
TGFBR2,SHOC2,Stopgain,0.90622,1,0.532,0.201
TP63,IVNS1ABP,Stopgain,1,0.99908,0.297,0.454
TRPC6,GANAB,Stopgain,6.2698e-8,1,0.709,0.392
TRPS1,OSMR,Stopgain,1,9.1128e-20,0.114,0.928
TSHR,PRLR,Stopgain,7.1432e-14,0.99854,1.013,0.439
VHL,TIMP3,Stopgain,0.0019414,0.46204,0.988,0.661
WFS1,NOVA2,Stopgain,1.6322e-39,0.85199,1.641,0.611
WNT1,GHSR,Stopgain,0.0027147,9.143e-5,0.958,1.034
YY1,IRF3,Stopgain,1,5.2045e-8,0.2,0.95
ZEB2,TSC1,Stopgain,1,1,0.114,0.227
ZIC1,SLC52A1,Stopgain,0.99991,3.9938e-6,0.307,1.122
ZNF148,ALG10B,Stopgain,1,1.6136e-7,0.209,1.019
ZNF292,SAMD9L,Stopgain,1,1.0989e-16,0.161,0.876
APOB,RYR2,FS,1.1639e-11,1,0.537,0.425
ARID1A,CACNA1E,FS,1,1,0.141,0.221
AUTS2,PDE10A,FS,1,0.99931,0.232,0.428
BARD1,MPO,FS,1.1319000000000002e-19,3.2783e-16,1.089,0.993
BCL11B,KCNQ3,FS,0.99531,0.99879,0.462,0.458
BPTF,NF1,FS,1,0.99938,0.09,0.45
BRCA1,ARFGEF1,FS,1.4282e-34,1,0.885,0.236
CACNA1A,FLNB,FS,1,5.1263e-4,0.331,0.504
CAPN3,IMPG1,FS,4.9987e-19,3.5749e-20,0.897,1.218
CASR,POLD1,FS,0.99683,7.641500000000001e-19,0.469,0.879
CELF2,CYP19A1,FS,1,0.015987,0.294,0.794
CFTR,SYCP2,FS,2.1646e-39,1,1.153,0.366
CLCN1,CTNNA1,FS,9.1074e-28,0.97146,1.027,0.492
COL12A1,MTOR,FS,1,1,0.375,0.269
COL2A1,DCC,FS,1,1,0.183,0.414
COL3A1,COL5A2,FS,1,1,0.291,0.106
COL5A1,CAMTA1,FS,1,1,0.089,0.227
COMP,KCNC3,FS,1.5472e-24,0.29391,1.074,0.654
CPT2,NEXN,FS,1.9322e-9,1.3208e-13,1.039,0.878
CRB1,ZMYM2,FS,8.8555e-17,0.96165,0.777,0.483
CREBBP,CHD3,FS,1,1,0.101,0.258
CXCR4,SLC30A2,FS,0.96886,0.023542,0.514,0.699
DAGLA,KCNQ5,FS,1,0.99994,0.305,0.417
DCHS1,TRIO,FS,0.31513,1,0.491,0.217
DDR2,VPS16,FS,1,1.7149e-18,0.375,0.814
DES,CETP,FS,2.3544e-6,1.1682e-15,0.81,1.014
DPF2,CSNK2A1,FS,1,1,0.287,0.274
DSP,SPTAN1,FS,0.9999,1,0.444,0.222
DVL3,SIK1,FS,0.69218,NA,0.537,NA
DYNC1H1,TRRAP,FS,1,1,0.117,0.115
EFTUD2,AARS1,FS,1,3.8495e-14,0.145,0.773
ELANE,SLC25A4,FS,4.1463e-4,0.41552,1.246,0.688
EP300,WNK1,FS,1,1,0.164,0.227
ERCC6,ADCY10,FS,1.1276e-23,1.1571e-38,0.804,0.923
EYA1,F12,FS,1,2.7896e-26,0.291,1.288
EZH2,STAT1,FS,1,1,0.272,0.271
FBN1,DMXL2,FS,1,1,0.106,0.36
FBXO11,DHTKD1,FS,1,2.2737e-15,0.215,0.864
FGA,TBX6,FS,2.9066e-6,2.4039e-7,1.504,0.937
FH,YAP1,FS,0.26382,1,0.599,0.213
FLG,POLE,FS,2.0386e-4,2.4173999999999997e-38,1.932,0.75
FLNC,ATR,FS,1,1.017e-7,0.425,0.519
FOXN1,SCNN1G,FS,0.99874,0.80584,0.442,0.531
FTL,TNNI3,FS,2.0735e-6,6.4921e-7,1.554,1.1
FUS,NEFL,FS,1,8.6986e-10,0.104,0.987
FZD4,PSAP,FS,0.35957,0.95115,0.614,0.508
GATA2,CREB3L3,FS,0.99993,8.5205e-11,0.335,1.157
GCK,TFAP2B,FS,7.6033e-7,0.99997,0.867,0.353
GLI2,ARHGAP31,FS,1,1,0.365,0.38
GNAS,CASQ1,FS,0.99999,1.0188e-5,0.302,0.966
GRIN2A,INSR,FS,1,1.4394e-4,0.269,0.557
GRIN2B,CPSF1,FS,1,7.3835e-21,0.102,0.741
GRM1,MYOCD,FS,0.99997,1,0.417,0.396
HCN2,CTNNA3,FS,0.17437,2.6395e-13,0.628,0.876
HIVEP2,ABCA1,FS,1,2.0444e-12,0.114,0.563
HNRNPU,GARS1,FS,1,5.1213e-4,0.111,0.649
HSPB1,CSNK2B,FS,2.2734e-9,0.99996,1.889,0.237
IL6ST,HCN1,FS,0.99985,1,0.373,0.329
ITGA2B,ATP1A1,FS,8.639100000000001e-19,1,0.764,0.189
JAG1,EGFR,FS,1,0.98131,0.212,0.475
KAT6A,CDC42BPB,FS,1,1,0.083,0.235
KAT6B,CHD5,FS,1,1,0.098,0.384
KCNQ2,DSC2,FS,1,7.4613e-10,0.295,0.744
KIDINS220,CUX2,FS,0.99947,1,0.453,0.384
KMT2E,ADGRL1,FS,1,1,0.217,0.303
LRSAM1,SKI,FS,4.1770999999999997e-26,6.8312e-6,0.945,0.809
MLH1,LDB3,FS,8.378e-4,1.4646e-11,0.64,0.865
