gene,Group,degree,tau
APOB,Frameshift,780,0.9704626348087624
ARID1A,Frameshift,498,0.6004483262813832
AUTS2,Frameshift,184,0.6768557349672472
BARD1,Frameshift,646,0.8315869733659963
BCL11B,Frameshift,274,0.8928316712782485
BPTF,Frameshift,978,0.6207705677950959
BRCA1,Frameshift,1650,0.91741549838723
CACNA1A,Frameshift,544,0.9763424528844012
CAPN3,Frameshift,190,0.8876214848675705
CASR,Frameshift,334,0.9777185826565262
CELF2,Frameshift,144,0.7401038850936863
CFTR,Frameshift,948,0.9355332694426448
CLCN1,Frameshift,218,0.9856117524179188
COL12A1,Frameshift,228,0.9271612844620226
COL2A1,Frameshift,388,0.9563499210426892
COL3A1,Frameshift,464,0.894625379304126
COL5A1,Frameshift,356,0.8905803158853768
COMP,Frameshift,212,0.9813115249061096
CPT2,Frameshift,326,0.7075024711329804
CRB1,Frameshift,338,0.9020711773057192
CREBBP,Frameshift,1466,0.594436502706408
CXCR4,Frameshift,1044,0.967737385144853
DAGLA,Frameshift,68,0.8160488804590796
DCHS1,Frameshift,118,0.8374475437136266
DDR2,Frameshift,128,0.7922166749057349
DES,Frameshift,154,0.8928008969205824
DPF2,Frameshift,132,0.571479758071451
DSP,Frameshift,226,0.9590385335513152
DVL3,Frameshift,408,0.5295510725536215
DYNC1H1,Frameshift,414,0.6844755898207976
EFTUD2,Frameshift,1288,0.6765222793689658
ELANE,Frameshift,338,0.9736777844652372
EP300,Frameshift,2018,0.5209494404626289
ERCC6,Frameshift,330,0.6205621890486333
EYA1,Frameshift,300,0.9375562974647424
EZH2,Frameshift,1340,0.9128457043769592
FBN1,Frameshift,312,0.9493102721776132
FBXO11,Frameshift,154,0.65086524588822
FGA,Frameshift,516,0.982716950448546
FH,Frameshift,588,0.5949981474346508
FLG,Frameshift,252,0.9912221042724564
FLNC,Frameshift,342,0.9498199602166604
FOXN1,Frameshift,102,0.9736860766531804
FTL,Frameshift,178,0.7090582473661106
FUS,Frameshift,630,0.6151776549536552
FZD4,Frameshift,330,0.86091433379214
GATA2,Frameshift,560,0.8780178699799012
GCK,Frameshift,464,0.951385295722211
GLI2,Frameshift,528,0.8800969758184566
GNAS,Frameshift,764,0.8320727691828096
GRIN2A,Frameshift,570,0.9286587280199028
GRIN2B,Frameshift,698,0.9274721924309433
GRM1,Frameshift,408,0.9756577145624612
HCN2,Frameshift,76,0.8784068394974648
HIVEP2,Frameshift,124,0.7523448132657088
HNRNPU,Frameshift,620,0.5687292636923613
HSPB1,Frameshift,474,0.8312148087500822
IL6ST,Frameshift,298,0.7532002816137142
ITGA2B,Frameshift,710,0.9435318624839054
JAG1,Frameshift,522,0.8457279802027199
KAT6A,Frameshift,448,0.5678416140993691
KAT6B,Frameshift,340,0.5713806295100274
KCNQ2,Frameshift,552,0.948563858724806
KIDINS220,Frameshift,118,0.7071383143550191
KMT2E,Frameshift,372,0.5423151165194247
LRSAM1,Frameshift,146,0.5566000298783976
