feature,stratum,n_pairs,test,statistic,effect,p_value,case_summary,control_summary,n_in_stratum,p_adj_BH,p_adj_holm,p_adj_global,sig
gene_protein_flag,FS,123,exact binomial (paired),13,NA,2.4414062500000005e-4,1,0.8943089430894309,21,0.005126953125000001,0.005126953125000001,0.005004882812500001,**
exon_num,FS,131,Wilcoxon signed-rank,2607,-2,0.005071002696200903,13,16,21,0.05017948864648024,0.10142005392401807,0.05197777763605926,ns
nmdesc_gc_content,FS,131,Wilcoxon signed-rank,5494,3.6400000000000006,0.007168498378068606,54.53,53.12,21,0.05017948864648024,0.1362014691833035,0.05878168670016256,ns
gc_content,FS,131,Wilcoxon signed-rank,5178.5,3.030000000000001,0.04951440864892928,54.92,51.93,21,0.25995064540687873,0.8912593556807271,0.22556563940067784,ns
pLI,FS,129,Wilcoxon signed-rank,2524.5,-3.2576999351110003e-6,0.08627621262167007,0.93755,0.99858,21,0.33374872926990923,1,0.2721019013452671,ns
oe_lof_upper,FS,129,Wilcoxon signed-rank,4902.5,0.073,0.09535677979140264,0.332,0.249,21,0.33374872926990923,1,0.27925914081767916,ns
gene_ptm_flag,FS,119,exact binomial (paired),17,2.4,0.14346313476562506,0.9495798319327731,0.8907563025210085,21,0.43038940429687517,1,0.34340409867180255,ns
gene_LCS_flag,FS,124,exact binomial (paired),19,2.1666666666666665,0.16706848144531253,0.9516129032258065,0.8951612903225806,21,0.43855476379394537,1,0.3605161968030428,ns
tau,FS,130,Wilcoxon signed-rank,4730,-0.0033559756633548266,0.2727370014980157,0.849997276668111,0.7925329629242986,21,0.5738801876600086,1,0.533539403493432,ns
degree_centrality,FS,129,Wilcoxon signed-rank,4247.5,0.0028653295128939823,0.2732762798380993,0.03151862464183381,0.02865329512893983,21,0.5738801876600086,1,0.533539403493432,ns
pfam_overlap_length,FS,131,Wilcoxon signed-rank,4350,0,0.31003661441428154,179,138,21,0.5918880820636284,1,0.577795508681161,ns
nmdesc_homopolymer_fraction,FS,131,Wilcoxon signed-rank,4690,0.005945815003104531,0.3998237429377641,0.06060606060606061,0.058823529411764705,21,0.6996915501410872,1,0.6830322275186803,ns
pfam_overlap_fraction,FS,131,Wilcoxon signed-rank,3563,-0.0037051374218879385,0.528848062142182,0.4603960396039604,0.533724340175953,21,0.854293023460448,1,0.7919083832762805,ns
repeat_fraction,FS,131,Wilcoxon signed-rank,4531,0.0018452067488845536,0.6335928962253139,0.6086142322097379,0.6061452513966481,21,0.9483482426967885,1,0.8379777014592861,ns
pfam_overlap_flag,FS,131,McNemar,52,1.1666666666666667,0.6773916019262776,0.7786259541984732,0.7480916030534351,21,0.9483482426967885,1,0.8679079899680431,ns
homopolymer_fraction,FS,131,Wilcoxon signed-rank,4177,7.34164466636919e-5,0.8525269953823355,0.0645682001614205,0.06359649122807018,21,1,1,1,ns
gene_domains_flag,FS,121,McNemar,36,0.8947368421052632,0.8676323347781927,0.8016528925619835,0.8181818181818182,21,1,1,1,ns
ppi_overlap,FS,124,McNemar,56,1.0740740740740742,0.8936946693232326,0.4838709677419355,0.46774193548387094,21,1,1,1,ns
nmdesc_repeat_fraction,FS,131,Wilcoxon signed-rank,4355,-0.0043787843351263955,0.9423131455038878,0.6089280100597296,0.6068965517241379,21,1,1,1,ns
gene_slim_flag,FS,4,exact binomial (paired),1,NA,1,0.25,0,21,1,1,1,ns
gene_nls_flag,FS,31,exact binomial (paired),13,0.8571428571428571,1,0.6774193548387096,0.7096774193548387,21,1,1,1,ns
ppi_overlap,SNV,82,McNemar,44,4.5,4.693184905771581e-5,0.5975609756097561,0.25609756097560976,20,9.386369811543163e-4,9.386369811543163e-4,0.0019242058113663483,***
gene_protein_flag,SNV,81,exact binomial (paired),18,8,0.0013122558593750009,0.9753086419753086,0.8024691358024691,20,0.013122558593750009,0.024932861328125017,0.017934163411458346,*
exon_num,SNV,87,Wilcoxon signed-rank,1277,-1,0.023480579034429124,12,15,20,0.14461547728407856,0.42265042261972424,0.16045062340193234,ns
pfam_overlap_length,SNV,87,Wilcoxon signed-rank,2027.5,31,0.02892309545681571,111,72,20,0.14461547728407856,0.49169262276586706,0.16940670196134913,ns
degree_centrality,SNV,77,Wilcoxon signed-rank,1774,0.005730659025787966,0.03753752863495421,0.03151862464183381,0.025787965616045846,20,0.15015011453981683,0.6006004581592673,0.19237983425414032,ns
homopolymer_fraction,SNV,87,Wilcoxon signed-rank,1451,-0.003137616592069209,0.07119796604126835,0.061096136567834684,0.06550580431177445,20,0.21243687248160975,1,0.2721019013452671,ns
pfam_overlap_flag,SNV,87,McNemar,38,1.9230769230769231,0.07435290536856341,0.735632183908046,0.5977011494252874,20,0.21243687248160975,1,0.2721019013452671,ns
repeat_fraction,SNV,87,Wilcoxon signed-rank,1507,-0.006191574733661276,0.08534770440269089,0.6051080550098232,0.6091160220994475,20,0.21336926100672723,1,0.2721019013452671,ns
gene_ptm_flag,SNV,80,McNemar,25,2.125,0.10959858339911599,0.8625,0.75,20,0.2435524075535911,1,0.29956946129091705,ns
nmdesc_homopolymer_fraction,SNV,87,Wilcoxon signed-rank,1560,-0.011446377884734057,0.13461464674363036,0.06113138686131387,0.06971677559912855,20,0.2692292934872607,1,0.34340409867180255,ns
gene_domains_flag,SNV,80,McNemar,31,1.8181818181818181,0.15076277502664504,0.775,0.6625,20,0.2741141364120819,1,0.34340409867180255,ns
nmdesc_gc_content,SNV,87,Wilcoxon signed-rank,2117.5,0.3299999999999983,0.3902428685378472,54.16,51.58,20,0.650404780896412,1,0.6830322275186803,ns
gc_content,SNV,87,Wilcoxon signed-rank,2082.5,1.25,0.47705805990352207,53.43,51.85,20,0.7210873083491336,1,0.7823752182417761,ns
pfam_overlap_fraction,SNV,87,Wilcoxon signed-rank,1714,0,0.5141278248627119,0.31048387096774194,0.3263157894736842,20,0.7210873083491336,1,0.7919083832762805,ns
nmdesc_repeat_fraction,SNV,87,Wilcoxon signed-rank,1769,-0.008355500567068797,0.5408154812618502,0.6030110935023771,0.6041666666666666,20,0.7210873083491336,1,0.7919083832762805,ns
tau,SNV,87,Wilcoxon signed-rank,1785,-0.03122968105805879,0.5865364001177863,0.8007248017405875,0.8075523181417986,20,0.7331705001472328,1,0.8292411174079047,ns
gene_LCS_flag,SNV,82,exact binomial (paired),17,1.4285714285714286,0.6290588378906251,0.9146341463414634,0.8780487804878049,20,0.7400692210477943,1,0.8379777014592861,ns
pLI,SNV,84,Wilcoxon signed-rank,1293,0,0.7539814590804257,0.9395450000000001,0.9861800000000001,20,0.8377571767560286,1,0.9367648430999228,ns
oe_lof_upper,SNV,84,Wilcoxon signed-rank,1759.5,-0.013000000000000005,0.9112241724309377,0.322,0.2915,20,0.959183339400987,1,1,ns
gene_nls_flag,SNV,13,exact binomial (paired),4,1,1,0.5384615384615384,0.5384615384615384,20,1,1,1,ns
