feature,stratum,n_pairs,test,statistic,effect,p_value,case_summary,control_summary,n_in_stratum,p_adj_BH,p_adj_holm,p_adj_global,sig
gene_protein_flag,FS,NA,Fisher exact,NA,Inf,4.0247754816171134e-7,1,0.8372093023255814,21,8.452028511395938e-6,8.452028511395938e-6,1.6904057022791877e-5,***
gene_ptm_flag,FS,NA,Fisher exact,NA,3.3916739938471667,0.0053687855545110534,0.943089430894309,0.8294573643410853,21,0.056372248322366064,0.10737571109022107,0.056372248322366064,ns
degree_centrality,FS,NA,Wilcoxon rank-sum,9646.5,0.009510869565217392,0.026764014548055343,0.03260869565217391,0.02309782608695652,21,0.14370151858086588,0.5085162764130515,0.164230306949561,ns
nmdesc_gc_content,FS,NA,Wilcoxon rank-sum,9934,1.1899999999999977,0.027371717824926835,54.53,53.34,21,0.14370151858086588,0.5085162764130515,0.164230306949561,ns
pfam_overlap_fraction,FS,NA,Wilcoxon rank-sum,7303.5,-0.25678457713612773,0.0359904127618406,0.4603960396039604,0.7171806167400882,21,0.1511597335997305,0.6118370169512901,0.18894966699966315,ns
oe_lof_upper,FS,NA,Wilcoxon rank-sum,7202.5,-0.09299999999999997,0.07743996453133319,0.329,0.422,21,0.27103987585966616,1,0.27103987585966616,ns
gene_slim_flag,FS,NA,Fisher exact,NA,2.692772770615115,0.1350442363088291,0.5416666666666666,0.3,21,0.40513270892648734,1,0.4362967634592941,ns
pLI,FS,NA,Wilcoxon rank-sum,8955.5,0.196025,0.23818416045424048,0.939845,0.74382,21,0.6252334211923812,1,0.6669156492718733,ns
gc_content,FS,NA,Wilcoxon rank-sum,9224,1.0700000000000003,0.2944251334031513,54.92,53.85,21,0.6637335917122357,1,0.6986669386444586,ns
gene_LCS_flag,FS,NA,Fisher exact,NA,1.8599480041377294,0.31606361510106457,0.9523809523809523,0.9147286821705426,21,0.6637335917122357,1,0.6986669386444586,ns
nmdesc_repeat_fraction,FS,NA,Wilcoxon rank-sum,8123,0.0029322927149758593,0.45616590399430507,0.6089280100597296,0.6059957173447538,21,0.8708621803527643,1,0.781450437050901,ns
gene_nls_flag,FS,NA,Fisher exact,NA,1.4718526016317164,0.5049325667972704,0.7407407407407407,0.6590909090909091,21,0.8836319918952231,1,0.8156603002109752,ns
tau,FS,NA,Wilcoxon rank-sum,8778,0.02646804771299016,0.7480408175364376,0.8522214952469623,0.8257534475339722,21,0.984063209485673,1,1,ns
pfam_overlap_length,FS,NA,Wilcoxon rank-sum,8751.5,0,0.7799505006147364,179,179,21,0.984063209485673,1,1,ns
ppi_overlap,FS,NA,Fisher exact,NA,1.0944830894432667,0.802353491830981,0.48412698412698413,0.46153846153846156,21,0.984063209485673,1,1,ns
nmdesc_homopolymer_fraction,FS,NA,Wilcoxon rank-sum,8443,6.809669731018056e-4,0.8232260579460653,0.06060606060606061,0.0599250936329588,21,0.984063209485673,1,1,ns
gene_domains_flag,FS,NA,Fisher exact,NA,1.0584054674552281,0.8774338346299101,0.7983870967741935,0.7890625,21,0.984063209485673,1,1,ns
homopolymer_fraction,FS,NA,Wilcoxon rank-sum,8489.5,7.884082849518859e-4,0.8826842315519695,0.0645682001614205,0.06377979187646861,21,0.984063209485673,1,1,ns
exon_num,FS,NA,Wilcoxon rank-sum,8665.5,-1,0.8903429038203707,13,14,21,0.984063209485673,1,1,ns
repeat_fraction,FS,NA,Wilcoxon rank-sum,8613,2.93981032343793e-4,0.9583864792932536,0.6086142322097379,0.6083202511773941,21,1,1,1,ns
pfam_overlap_flag,FS,NA,Fisher exact,NA,1.044570679127478,1,0.7786259541984732,0.7709923664122137,21,1,1,1,ns
gene_protein_flag,SNV,NA,Fisher exact,NA,10.134372125899448,3.606180036795185e-4,0.9761904761904762,0.8,21,0.007572978077269889,0.007572978077269889,0.007572978077269889,**
