file,MB
fs.rds,49.02
Copy of NIHMS1818854-supplement-2.xls,46.0
tau_gene_matrix.csv,21.79
fs_vus.rds,17.41
fs_benign.rds,13.3
NIHMS1818854-supplement-2(A).csv,11.63
NIHMS1818854-supplement-2(B).csv,10.64
pfam_overlap_gene_all.csv,5.04
ppi_overlap_gene_all.csv,5.01
gene_all.csv,5.01
PTC_info20260201_region.csv,4.38
snv_vus_ptc_nmdesc_can_filtered20260201.rds,3.71
analysis_table.csv,3.1
gene_all_matched.csv,2.15
gene_all_random.csv,1.84
idr_metrics.csv,1.74
snv_plp_ptc_nmdesc_can_p_f_syn_20260201_Jul30.rds,0.32
.nmdesc_path_index.rds,0.31
snv_plp_ptc_nmdesc_can_p_f_syn_20260201.rds,0.28
snv_plp_ptc_nmdesc_can_p_f_syn_20260201_AD_BH_FDR020.rds,0.16
snv_plp_ptc_nmdesc_can_p_f_syn_20260201_AD_FDR020.rds,0.16
repeat_content.csv,0.16
wald_ppi_degree_centrality_results.csv,0.09
gnomad_fs_filtered_bh_0831.csv,0.07
gc_content.csv,0.07
gene_level_pli_loeuf_category.csv,0.06
omim_AD_cds_length.csv,0.06
gnomad_snv_filtered_acat_0831.csv,0.05
snv_variants20260201_plp_dbh_clinvar.csv,0.03
results_random_unpaired.csv,0.01
results_matched_paired.csv,0.01
snv_can_ADrestricted_bh_FDR0.20_all.txt,0.0
snv_plp_ptc_nmdesc_can_p_f_syn_20260201_Jul30_NMDesc_dbh_enriched_can.txt,0.0
snv_plp_ptc_nmdesc_can_p_f_syn_20260201_NMDesc_enriched_can.txt,0.0
snv_plp_ptc_nmdesc_can_wald_p_f_syn_20260201_NMDesc_binom_enriched_can.txt,0.0
snv_plp_ptc_nmdesc_can_wald_p_f_syn_20260201_NMDesc_wald_enriched_can.txt,0.0
fs_can_AD_acat_FDR0.20_all.txt,0.0
