basename,n_scripts,any_absolute
y.csv,21,False
x.csv,21,False
omim_AD_symbols.csv,6,False
gnomad.v2.1.1.lof_metrics.by_gene.txt,6,True
NIHMS1818854-supplement-2(B).csv,6,False
NIHMS1818854-supplement-2(A).csv,6,False
human (1).txt,5,False
.fasta,5,False
gene_all0407 (1).csv,5,False
PTC_info20260201_region.csv,5,False
genemap2.txt,4,True
snv_plp_ptc_nmdesc_can_filtered20260201.rds,4,True
variants_all_with_motif_LCS_flags (1).csv,4,False
snv_control_genes_AD.csv,4,False
fs.rds,4,True
.txt,4,False
fs_control_genes_AD.csv,4,False
.rds,3,False
snv_can_ADrestricted_bh_FDR0.20_all.txt,3,False
gene_motif_flags.csv,3,False
fs_can_AD_acat_FDR0.20_all.txt,3,False
variant_frequencies_with_transcripts.csv,3,False
gnomad_fs_filtered_wald.csv,3,False
nmd_length_NMDPos_PARSE_v2.csv,3,True
mim2gene.txt,3,True
gnomad_snv_filtered_wald.csv,3,False
gene_LCS_flags.csv,3,False
clinvar_1112.rds,3,True
snv_gnomAD_control_variant.csv,3,False
clinvar0819_1.rds,2,False
gc_content.csv,2,False
snv_gnomAD_control_genes.csv,2,False
clinvar0819_2.rds,2,False
centrality_data.csv,2,False
snv_gnomAD_variants0406.csv,2,False
snv_plp_ptc_can_filtered20260201.rds,2,False
full_length_PARSE_v2.csv,2,True
clinvar0819_3.rds,2,False
gnomAD_NMDescape_depleted_genes.txt,2,True
fs_NMD_result20260201.csv,2,False
control_set_comparison_pvalues.csv,2,False
control_set_comparison_summary.csv,2,False
repeat_content.csv,2,False
fs_variants20260201_plp_acat_clinvar.csv,2,False
repeated_sampling_1000_matched_fs.csv,2,False
repeated_sampling_1000_matched_snv.csv,2,False
repeated_sampling_1000_matched_summary.csv,2,False
fs_variants20260201_plp_clinvar_acat_0.2_filtered.csv,2,False
gene_all.csv,2,False
gene_all0407.csv,2,False
fs_can_syn_AD_gene_filtered_greater_20260201.txt,2,False
snv_benign_ptc_nmdesc_can_filtered20260201.rds,2,False
snv_control2_out.txt,2,True
fs_can_AD_FDR0.05_wald_gene.csv,2,False
fs_can_AD_FDR0.05_gene.csv,2,False
snv_plp_ptc_nmdesc_can_p_f_syn_20260201_NMDesc_enriched_can_AD_p_0.8.csv,2,False
fs_benign.rds,2,False
snv_plp_ptc_nmdesc_can_p_f_syn_20260201_Jul30.rds,2,False
_gene_all.csv,2,False
snv_plp_ptc_nmdesc_can_wald_p_f_syn_20260201_NMDesc_binom_enriched_can.txt,2,False
minus1_control_uniprot_ids_out.txt,2,True
plus1_control_idr.txt,2,False
plus1_control_gnomAD_variants0406.csv,2,False
None of the requested flag columns were found in gene_all0407 (1).csv,2,False
No features in feature_map were found in gene_all0407 (1).csv,2,False
NMD_region_NMDPos_peptide_props.csv,2,True
NMD_region_NMDPos_CIDER.csv,2,True
NMD_region_DivergentPos_peptide_props.csv,2,True
NMD_region_DivergentPos_CIDER.csv,2,True
v_ch20260201.csv,2,False
nmd_length_DivergentPos_PARSE_v2.csv,2,True
CLinvar_genes_NMDdata.txt,2,True
pfam_influenced_variant_counts.csv,2,False
variants_all_with_pfam_distance.csv,2,False
variants_annotated.csv,2,False
.cut.syn.csv,2,False
plus1_control_merged_uni_loc.csv,2,False
ptc_can_NMD_df.csv,2,True
snv_plp_ptc_nmdesc_can_wald_p_f_syn_20260201_NMDesc_wald_enriched_can.txt,2,False
snv_variants20260201_plp_bh0.2_clinvar.csv,2,False
plus1_disorder_predictions.csv,2,True
matching_log_v2.csv,2,True
snv_plp_ptc_p1120_NMDenriched2_can.txt,2,True
plus1_control_vep_uniprot_intact.txt,1,False
pfam_overlap_gene_all.csv,1,False
plus1_variants0406.csv,1,False
plddt_all_NMD.csv,1,True
plddt_all_FL.csv,1,True
ppi_all_AD_with_gene_symbols.csv,1,False
ppi_data.csv,1,False
ppi_flag_summary.csv,1,False
pfam_variant_counts.csv,1,False
plus1_uniprot_ids_out.txt,1,True
ppi_interface_variant_counts_AD.csv,1,False
plus1_trigger_gene0115.txt,1,True
ppi_interface_variant_counts.csv,1,False
pli_all_cate.csv,1,False
pfam_flag_summary.csv,1,False
pfam_data.csv,1,False
parse_NMDPos_hierarchical_results.csv,1,False
ppi_overlap_gene_all.csv,1,False
plus1_idr0603.rds,1,False
parse_NMDPos_hierarchical_model_list.rds,1,False
plus1_merged_uni_loc.csv,1,True
pli_AD_genes.csv,1,False
plus1_can_gene0217.txt,1,True
plus1_can_gene0115.txt,1,True
plus2_disorder_predictions.csv,1,False
plus2_control_ADgenes.csv,1,False
plus1_control_vep_cadd_dbnsfp_tss_prot_nearestexon.txt,1,True
plus1_control_uniprot_ids_out.txt,1,True
plus1_control_idr0603.rds,1,False
plus1_css_gene0115.txt,1,True
plus2_css_gene0115.txt,1,True
plus1_control_disorder_predictions.csv,1,True
plus2_can_gene0115.txt,1,True
plus1_fs_results20260201_AD.rds,1,False
plus2_fs_results20260201_AD.rds,1,False
plus2_can_gene0217.txt,1,True
plus1_idr.txt,1,False
plus1_long_gene0115.txt,1,True
plus1_vep_uniprot_intact.txt,1,False
plus2_long_gene0115.txt,1,True
plus2_trigger_gene0115.txt,1,True
plus1_vep_cadd_dbnsfp_tss_prot_nearestexon.txt,1,True
pool_fs_control_cds.csv,1,False
plus1_control_data.txt,1,True
pool_snv_control_cds.csv,1,False
plus2_gnomAD_control_genes.csv,1,True
snv_control_ADvariants.csv,1,False
ppi_pfam_flag_summary.csv,1,False
snv_variants20260201_plp_dbh_clinvar.csv,1,False
structural_summary_NMD_1000_repeats.csv,1,False
snv_wald_AD.csv,1,False
snv_vus_ptc_nmdesc_can_filtered20260201.rds,1,False
snv_vep_uniprot_intact.txt,1,False
snv_vep_cadd_dbnsfp_tss_prot_nearestexon.txt,1,True
snv_variants20260201_plp_wald_clinvar.csv,1,False
snv_variants20260201_plp_clinvar.csv,1,False
syn_all_can_only.csv,1,False
snv_variants20260201_benign_bh0.2_clinvar.csv,1,False
snv_variants0406.csv,1,False
snv_uniprot_ids_out.txt,1,True
snv_plp_ptc_p1120_NMDenriched2_trig.txt,1,True
snv_plp_ptc_p1120_NMDenriched2_long.txt,1,True
snv_plp_ptc_p1120_NMDenriched2_css.txt,1,True
submit_info.csv,1,False
t find gene_all_matched.csv,1,False
snv_plp_ptc_nmdesc_can_p_f_syn_20260201_NMDesc_enriched_can.txt,1,False
variants_all5.csv,1,False
wald_ppi_degree_centrality_results.csv,1,False
variants_all_with_motif_LCS_flags.csv,1,False
variants_all_distance_list.csv,1,False
variants_all_continuous_summary.csv,1,False
variants_all_binary_summary.csv,1,False
variants_all5_1_0621.csv,1,False
variants_all0805.csv,1,False
tau_all.csv,1,False
variants_all.csv,1,False
variant_summary.txt,1,False
variant_motif_max3.csv,1,False
variant_LCS_max3.csv,1,False
unipLocSignal.bed.csv,1,True
tau_gene_matrix.csv,1,False
snv_plp_ptc_p1120_NMDenriched2_all.txt,1,True
snv_plp_ptc_nmdesc_can_p_f_syn_20260201_Jul30_NMDesc_dbh_enriched_can.txt,1,False
ptc_variant_distance_all_groups_table.csv,1,False
snv_ADvariants.csv,1,False
snv_control_genes.csv,1,False
snv_control_distance_list.csv,1,False
pairs_snv_random.csv,1,False
snv_control_ADgenes.csv,1,True
snv_benign_ptc_nmdesc_can20260201.rds,1,False
snv_all.csv,1,False
secondary_structure_hierarchical_results.csv,1,False
snv_control_idr.txt,1,False
secondary_structure_hierarchical_model_list.rds,1,False
secondary_structure_hierarchical_convergence.csv,1,False
results_random_unpaired.csv,1,False
results_matched_paired.csv,1,False
resetID_clinvar_20240819_Clnsig.txt,1,False
repeated_sampling_1000_matched_all.csv,1,False
snv_control_gnomAD_variants0406.csv,1,False
snv_control_idr0603.rds,1,False
snv_plp_ptc_nmdesc_can_p_f_syn_20260201_AD_FDR020.rds,1,False
snv_idr0603.rds,1,False
snv_plp_ptc_nmdesc_can_p_f_syn_20260201_AD_BH_FDR020.rds,1,False
snv_plp_ptc_nmdesc_can_p_f_syn_20260201_AD_BH020.rds,1,False
snv_plp_ptc_nmdesc_can_p_f_syn_20260201.rds,1,False
snv_plp_ptc_nmdesc_can_filtered20260201_check.rds,1,False
snv_plp_ptc_nmdesc_can20260201.rds,1,False
snv_plp_nmd_p_NMDenriched_omim.txt,1,True
snv_idr.txt,1,False
snv_control_uniprot_ids_out.txt,1,True
snv_gene_summary_wald.csv,1,False
snv_disorder_predictions.csv,1,False
snv_disease_distance_list.csv,1,False
snv_dbh_AD.csv,1,False
snv_control_vep_uniprot_intact.txt,1,False
snv_control_vep_cadd_dbnsfp_tss_prot_nearestexon.txt,1,True
parse_NMDPos_hierarchical_convergence.csv,1,False
%s_%s.txt,1,False
pairs_snv_matched.csv,1,False
aa_comp_stats_all_regions.csv,1,True
_summary.csv,1,False
_pli_loeuf_category.csv,1,False
_mixed_model.csv,1,False
_idr0603_uni.txt,1,False
_gene_matrix.csv,1,False
_gene0115.txt,1,False
_full_annotated.csv,1,False
_fixed_model.csv,1,False
_exon_counts.csv,1,False
_all.csv,1,False
WT_vars_full_length_plus1_strand[16].csv,1,True
WT_vars_NMD_region_plus1_strand[53].csv,1,True
WT_var_full_4c_AD.csv,1,True
WT_var_NMD_4c_AD.csv,1,True
WT_full_NMD_structural.csv,1,True
aa_comp_all_regions.csv,1,True
abs_sasa_mean_WT_FL.csv,1,True
WT-vars_full-length.csv,1,True
abs_sasa_mean_var_FL.csv,1,True
enriched_genes_dbh.csv,1,False
dist_sanity_models_fdr.csv,1,False
control_variants_all_with_ppi_pfam_data.csv,1,False
control_variants_all_with_motif_LCS_flags.csv,1,False
control_set_distance_summary.csv,1,False
control_set_distance_pvalues.csv,1,False
clinvar_gene_list.txt,1,False
clinvar_1120.rds,1,True
clinvar0716_3.rds,1,False
clinvar0716_2.rds,1,False
clinvar0716_1.rds,1,False
aromaticity_all_NMD.csv,1,True
aromaticity_all_FL.csv,1,True
analysis_table.csv,1,False
all_p_results_structural_NMD_1000_repeats.csv,1,False
WT-vars_full-length_corrected[10].csv,1,True
WT-vars_NMD_region_corrected[65].csv,1,True
pairs_fs_random.csv,1,False
Clinvar_0820NMD.rds,1,True
ClinVar_pathogenic_allgenes.txt,1,True
ClinVar_pathogenic_NMDescapeneriched.genes.txt,1,True
ClinVar_all_vus_allgenes.txt,1,True
ClinVar_all_vus_NMDescapeneriched.genes.txt,1,True
ClinVar_NMD.rds,1,True
CIDER_model_results.csv,1,False
CIDER_descriptive_summary.csv,1,False
BM_info.csv,1,False
AD_gene_sets_v3.rds,1,False
AD_Tugce.csv,1,False
<CHR>_<zero*POS>_<REF>_<ALT>.fasta,1,False
3_01014662_CAA_C.fasta,1,False
17_00770305_TGA_T.fasta,1,False
.nmdesc_path_index.rds,1,False
.cut.syn.can.csv,1,False
ClinVar_vus_NMD0906.rds,1,False
Clinvar_p_NMD0906.rds,1,False
WT-vars_NMD_region.csv,1,True
Kat6b_PARSEV2_SCORES.csv,1,True
VARs_full_NMD_structural.csv,1,True
VAR-WT_structural_results.csv,1,True
Tugce_genelist_fortheppaer.xlsx,1,True
Supplemental_Figure_3_variant_level_summary.csv,1,False
Supplemental_Figure_3_gene_level_summary.csv,1,False
Peptide_LMM_results.csv,1,False
POGZ_combined_Pfam_PPI_locations.csv,1,False
POGZ_Pfam_domains_biomart.csv,1,False
