"hgnc_symbol","ensembl_transcript_id","group","repeat_fraction","nmdesc_repeat_fraction","homopolymer_fraction","nmdesc_homopolymer_fraction"
"CFTR","ENST00000003084","snv",0.610398379473329,0.645418326693227,0.0735989196488859,0.0677290836653386
"KCNQ1","ENST00000155840","snv",0.610044313146233,0.606271777003484,0.0758247168882324,0.0975609756097561
"MYH9","ENST00000216181","snv",0.607173210946796,0.583333333333333,0.0237973822879483,0.0952380952380952
"AGO2","ENST00000220592","snv",0.604263565891473,0.666666666666667,0.0573643410852713,0
"RP1","ENST00000220676","snv",0.62277855045588,0.625741192884548,0.0959666203059805,0.0974886641088245
"NAGLU","ENST00000225927","snv",0.620519713261649,0.600317208564631,0.0672043010752688,0.0626486915146709
"TGFB3","ENST00000238682","snv",0.604519774011299,0.526315789473684,0.0645682001614205,0.062200956937799
"CDKN1B","ENST00000228872","snv",0.629815745393635,0.662790697674419,0.0787269681742044,0.116279069767442
"MLH1","ENST00000231790","snv",0.601497137824747,0.674311926605505,0.0673712021136063,0
"MSH6","ENST00000234420","snv",0.611805045309821,0.5,0.0832721038452119,0.0303030303030303
"WFS1","ENST00000226760","snv",0.594837261503928,0.582169709989259,0.0404040404040404,0.0247046186895811
"COL1A1","ENST00000225964","snv",0.628896473265074,0.538071065989848,0.0953356086461889,0.0862944162436548
"MVK","ENST00000228510","snv",0.590260285474391,0.554455445544555,0.0486985726280437,0.0247524752475248
"SALL1","ENST00000251020","snv",0.608301886792453,0.623217922606925,0.0815094339622641,0.0488798370672098
"MSH2","ENST00000233146","snv",0.62174688057041,0.615384615384615,0.071301247771836,0.0995475113122172
"SOX9","ENST00000245479","snv",0.589542483660131,0.596648044692737,0.0986928104575163,0.135195530726257
"FUS","ENST00000254108","snv",0.662871600253004,0.655555555555556,0.0512333965844402,0.133333333333333
"PRPH2","ENST00000230381","snv",0.626320845341018,0.688212927756654,0.031700288184438,0.0304182509505703
"MFN2","ENST00000235329","snv",0.592348284960422,0.55,0.0351802990325418,0.0333333333333333
