"case_group","case_hgnc","case_transcript","case_cds_length","case_NMD_region_start","case_NMD_region_end","case_NMDesc_region_length","case_nmd_cds_ratio","control_group","control_hgnc","control_transcript","control_cds_length","control_NMD_region_start","control_NMD_region_end","control_NMDesc_region_length","control_nmd_cds_ratio","cds_log10_diff","ratio_abs_diff"
"snv","ACVRL1","ENST00000388922",1512,1328,1512,185,0.122354497354497,"snv_control","CDK19","ENST00000368911",1509,1328,1509,182,0.120609675281643,0.000862551389597677,0.00174482207285388
"snv","AGO2","ENST00000220592",2580,2422,2580,159,0.0616279069767442,"snv_control","ABCB6","ENST00000265316",2529,2371,2529,159,0.062870699881376,0.00867087661882548,0.00124279290463186
"snv","ARID1A","ENST00000324856",6858,5002,6835,1834,0.267424905220181,"snv_control","PHIP","ENST00000275034",5466,4779,5466,688,0.12586900841566,0.0985278534222833,0.14155589680452
"snv","BARD1","ENST00000260947",2334,1922,2312,391,0.167523564695801,"snv_control","SOX5","ENST00000451604",2292,1939,2292,354,0.154450261780105,0.00788623841399927,0.0130733029156965
"snv","BRCA1","ENST00000357654",5592,5290,5522,233,0.0416666666666667,"snv_control","LAMA4","ENST00000230538",5472,5277,5472,196,0.0358187134502924,0.00942107402556491,0.00584795321637427
"snv","C1S","ENST00000360817",2067,1221,2067,847,0.409772617319787,"snv_control","TRAF3","ENST00000392745",1707,1086,1707,622,0.364381956649092,0.0831069555125548,0.0453906606706952
"snv","CASR","ENST00000639785",3237,1548,3184,1637,0.505715168365771,"snv_control","LGR4","ENST00000379214",2856,1530,2856,1327,0.464635854341737,0.0543844962984363,0.0410793140240341
"snv","CCND2","ENST00000261254",870,670,870,201,0.231034482758621,"snv_control","TMEM106B","ENST00000396668",825,637,825,189,0.229090909090909,0.0230653040686937,0.00194357366771158
"snv","CFH","ENST00000367429",3696,3444,3696,253,0.068452380952381,"snv_control","JARID2","ENST00000341776",3741,3509,3741,233,0.0622828120823309,0.00525574565013587,0.00616956887005003
"snv","CFTR","ENST00000003084",4443,4186,4390,205,0.046139995498537,"snv_control","MAP3K1","ENST00000399503",4539,4340,4539,200,0.0440625688477638,0.00928386950197835,0.0020774266507732
"snv","CNNM2","ENST00000369878",2628,2303,2584,282,0.107305936073059,"snv_control","TLR3","ENST00000296795",2715,2437,2715,279,0.102762430939227,0.0141444730371227,0.00454350513383284
"snv","CRB1","ENST00000367400",4221,3876,4114,239,0.056621653636579,"snv_control","MET","ENST00000397752",4173,3886,4173,288,0.0690150970524802,0.00496696744269931,0.0123934434159012
"snv","CREBBP","ENST00000262367",7329,4938,7162,2225,0.303588484104243,"snv_control","CACNA1G","ENST00000359106",7134,6350,7134,785,0.110036445192038,0.0117116166907638,0.193552038912205
"snv","DSP","ENST00000379802",8616,5310,8490,3181,0.369196843082637,"snv_control","CACNA1H","ENST00000348261",7062,5999,7062,1064,0.150665533843104,0.0863779770628468,0.218531309239533
"snv","EDAR","ENST00000258443",1347,974,1347,374,0.277654046028211,"snv_control","TNFRSF1A","ENST00000162749",1368,1008,1368,361,0.263888888888889,0.00671850166111199,0.013765157139322
"snv","EP300","ENST00000263253",7245,4858,7213,2356,0.325189786059351,"snv_control","SCN10A","ENST00000449082",5871,4608,5871,1264,0.215295520354284,0.09132630942953,0.109894265705068
"snv","EPOR","ENST00000222139",1527,785,1423,639,0.418467583497053,"snv_control","IFNGR1","ENST00000367739",1470,812,1470,659,0.448299319727891,0.0165217023082453,0.0298317362308381
"snv","EVC2","ENST00000344408",3927,3610,3927,318,0.080977845683728,"snv_control","KDR","ENST00000263923",4071,3799,4071,273,0.0670596904937362,0.0156402011089813,0.0139181551899919
"snv","F2","ENST00000311907",1869,1624,1838,215,0.115034777956126,"snv_control","LBR","ENST00000272163",1848,1638,1848,211,0.114177489177489,0.00490733449474412,0.000857288778637083
"snv","FBN1","ENST00000316623",8616,8099,8586,488,0.0566388115134633,"snv_control","VWF","ENST00000261405",8442,8204,8442,239,0.0283108268182895,0.00886034247153589,0.0283279846951738
"snv","FBXO11","ENST00000403359",2784,2584,2760,177,0.0635775862068965,"snv_control","PACS2","ENST00000447393",2715,2547,2715,169,0.0622467771639042,0.0108993970136586,0.00133080904299231
"snv","FH","ENST00000366560",1533,1238,1506,269,0.175472928897586,"snv_control","LYN","ENST00000519728",1539,1287,1539,253,0.164392462638077,0.00169646497710385,0.0110804662595098
"snv","FLG","ENST00000368799",12186,86,12048,11963,0.981700311833251,"snv_control","SAMD9","ENST00000379958",4770,1,4770,4770,1,0.407342794748337,0.0182996881667488
"snv","FLNC","ENST00000325888",8178,7793,8092,300,0.0366837857666911,"snv_control","ITPR3","ENST00000605930",8016,7898,8016,119,0.0148453093812375,0.00868939769514654,0.0218384763854536
"snv","GLI2","ENST00000361492",4710,2081,4602,2522,0.535456475583864,"snv_control","ABL1","ENST00000318560",3393,1629,3393,1765,0.5201886236369,0.142437047483778,0.0152678519469646
"snv","GRIN2B","ENST00000609686",4455,2436,4394,1959,0.43973063973064,"snv_control","HCN4","ENST00000261917",3612,2094,3612,1519,0.420542635658915,0.0910999667314254,0.019188004071725
"snv","HIVEP2","ENST00000367603",7341,6440,7230,791,0.107750987603869,"snv_control","ZNF462","ENST00000277225",7521,7264,7521,258,0.0343039489429597,0.0105203646064274,0.073447038660909
"snv","HNRNPR","ENST00000634713",1911,1248,1911,664,0.347462061747776,"snv_control","CACNB2","ENST00000324631",1983,1439,1983,545,0.274836106908724,0.0160620271502898,0.0726259548390519
"snv","KAT6A","ENST00000265713",6015,3242,5958,2717,0.451704073150457,"snv_control","GRIN2D","ENST00000263269",4011,2624,4011,1388,0.346048366990775,0.175982969694217,0.105655706159682
"snv","KAT6B","ENST00000287239",6222,3551,6172,2622,0.421407907425265,"snv_control","TET3","ENST00000409262",5388,3555,5388,1834,0.340386043058649,0.0625024197217368,0.0810218643666163
"snv","KCNB1","ENST00000371741",2577,517,2577,2061,0.79976717112922,"snv_control","FAM111B","ENST00000343597",2205,32,2205,2174,0.9859410430839,0.0677058247470472,0.18617387195468
"snv","KIF21A","ENST00000361418",5025,1625,4981,3357,0.668059701492537,"snv_control","NEFH","ENST00000310624",3063,1159,3063,1905,0.621939275220372,0.214989069285954,0.0461204262721652
"snv","LGI1","ENST00000371418",1674,789,1674,886,0.529271206690561,"snv_control","IKZF1","ENST00000331340",1560,801,1560,760,0.487179487179487,0.0306308553027796,0.0420917195110743
"snv","LRSAM1","ENST00000300417",2172,989,2011,1023,0.470994475138122,"snv_control","HDC","ENST00000267845",1989,1193,1989,797,0.400703871292107,0.0382250377923739,0.0702906038460149
"snv","MFN2","ENST00000235329",2274,1056,2190,1135,0.499120492524186,"snv_control","IRF2BP2","ENST00000366609",1764,999,1764,766,0.434240362811791,0.110291879555915,0.064880129712395
"snv","MLH1","ENST00000231790",2271,1039,2125,1087,0.478643769264641,"snv_control","ZCCHC8","ENST00000633063",2124,1296,2124,829,0.39030131826742,0.0290626218103038,0.0883424509972212
"snv","MN1","ENST00000302326",3963,3676,3937,262,0.0661115316679283,"snv_control","ZNF644","ENST00000337393",3984,3742,3984,243,0.0609939759036145,0.00229525741747105,0.00511755576431388
"snv","MSH6","ENST00000234420",4083,3866,4069,204,0.0499632623071271,"snv_control","ABCC11","ENST00000356608",4149,4007,4149,143,0.0344661364184141,0.00696405490597618,0.015497125888713
