ID,Start,End
O00548,653,702
O00555,818,1220
O00555,1988,2031
O00555,2043,2506
O14497,1,820
O14497,978,1005
O14497,1113,1483
O14497,1539,1603
O14497,1747,1774
O14497,1859,1907
O14841,1248,1272
O15119,301,342
O15119,358,465
O15119,688,707
O15273,144,167
O15297,28,90
O15297,516,591
O15353,1,105
O15353,392,445
O15353,458,508
O15353,623,648
O43390,1,24
O43390,412,456
O43390,501,633
O43526,402,422
O43526,442,488
O43526,598,619
O43526,659,680
O43526,693,757
O43526,838,872
O43776,1,25
O43776,69,91
O60281,608,633
O60281,825,860
O60281,1331,1364
O60281,1588,1634
O60281,1986,2023
O60281,2074,2103
O60281,2285,2345
O60281,2441,2480
O60281,2530,2564
O60281,2606,2631
O60315,1,101
O60315,702,740
O60315,771,810
O60315,832,857
O60315,1117,1214
O76024,1,86
O95409,406,452
O95409,475,532
O96028,149,170
O96028,376,455
O96028,516,658
O96028,1207,1232
O96028,1333,1365
P02458,97,1237
P02461,95,1194
P02671,262,460
P02671,543,638
P02730,1,40
P05155,20,43
P05155,65,118
P08235,231,329
P08235,347,373
P08235,684,710
P10070,1,22
P10070,342,389
P10070,577,636
P10070,650,716
P10070,742,879
P10070,925,1030
P10070,1182,1215
P10070,1421,1441
P10070,1469,1498
P10826,47,78
P10826,415,455
P10827,1,32
P10827,457,490
P12883,1907,1935
P13569,654,831
P13569,1452,1480
P15924,2810,2871
P19235,467,494
P20807,7,37
P20807,609,652
P20908,242,269
P20908,281,457
P20908,470,520
P20908,526,545
P20908,559,1574
P20930,92,212
P20930,255,3971
P23769,119,209
P23769,448,480
P25490,33,81
P25490,157,203
P30279,264,289
P31629,1,93
P31629,272,303
P31629,340,416
P31629,543,563
P31629,751,985
P31629,1485,1603
P31629,1882,1951
P31629,2024,2129
P31629,2242,2325
P31629,2371,2403
P31629,2423,2446
P35499,39,63
P35499,493,530
P35499,863,885
P35499,930,992
P35499,1778,1836
P35523,65,92
P35523,713,764
P35523,880,988
P35555,2726,2746
P35579,1035,1057
P35579,1118,1137
P35579,1877,1960
P35637,1,286
P35637,375,424
P35637,444,526
P38398,230,270
P38398,306,338
P38398,534,570
P38398,654,709
P38398,1181,1216
P38398,1322,1387
P38398,1440,1505
P38398,1565,1596
P40189,660,681
P40189,722,758
P40238,205,232
P40337,1,65
P40692,355,378
P40692,400,491
P41180,892,963
P41180,986,1006
P41180,1030,1055
P43694,60,107
P43694,314,378
P43694,409,428
P43699,219,294
P43699,310,339
P48436,1,67
P48436,160,273
P48436,330,415
P48436,479,509
P49747,298,503
P50219,37,78
P50219,101,120
P50219,299,401
P52701,1,84
P52701,195,362
P54098,1,68
P54098,318,340
P54098,506,531
P56715,1,25
P56715,353,375
P56715,666,686
P56715,1438,1458
P56715,1590,1621
P60880,1,23
P61073,329,352
P63092,1,23
P63092,68,91
P78504,1152,1218
P98161,616,635
P98161,4160,4196
P98161,4243,4303
Q01826,1,54
Q01826,266,307
Q01826,591,649
Q01974,757,796
Q01974,850,931
Q03468,1,39
Q03468,287,323
Q03468,344,453
Q03468,1042,1147
Q03468,1181,1247
Q03468,1318,1384
Q04721,1754,1788
Q04721,2091,2168
Q04721,2380,2471
Q07837,1,56
Q08209,475,521
Q09472,1,29
Q09472,133,157
Q09472,196,235
Q09472,482,518
Q09472,729,1050
Q09472,1520,1578
Q09472,1833,1924
Q09472,1980,2010
Q09472,2094,2163
Q09472,2186,2237
Q09472,2267,2385
Q10571,1,26
Q10571,92,121
Q10571,147,219
Q10571,231,411
Q10571,423,442
Q10571,474,615
Q10571,629,819
Q10571,840,1150
Q10571,1247,1273
Q12830,1,232
Q12830,567,774
Q12830,1057,1157
Q12830,1215,1339
Q12830,1371,1448
Q12830,1465,1537
Q12830,1605,1706
Q12830,1973,2003
Q12830,2041,2070
Q12830,2160,2180
Q12830,2232,2270
Q12830,2346,2549
Q12830,2714,2733
Q12830,2795,2858
Q12879,997,1083
Q12879,1335,1372
Q13224,1074,1097
Q13224,1161,1194
Q13224,1271,1301
Q13255,883,905
Q13255,1007,1030
Q13255,1113,1173
Q14204,2390,2411
Q14315,1,28
Q14315,1740,1765
Q14315,2240,2260
Q14524,28,56
Q14524,461,591
Q14524,1005,1141
Q14524,1959,2016
Q14721,1,21
Q14721,471,524
Q14721,538,574
Q14721,770,807
Q14721,836,858
Q15029,1,54
Q15149,144,179
Q15149,1618,1650
Q15149,1794,1836
Q15149,2105,2139
Q15149,2217,2307
Q15149,2668,2707
Q15149,2763,2784
Q15149,3310,3331
Q15149,4611,4684
Q15465,279,302
Q15465,395,414
Q15910,180,222
Q15910,340,426
Q15911,1,78
Q15911,96,128
Q15911,417,536
Q15911,588,619
Q15911,1148,1214
Q15911,1303,1354
Q15911,1490,1529
Q15911,1629,1727
Q15911,1865,1938
Q15911,2030,2082
Q15911,2204,2244
Q15911,2376,2400
Q15911,2422,2520
Q15911,2619,2647
Q15911,2771,2796
Q15911,2841,2871
Q15911,2912,2947
Q15911,3137,3267
Q15911,3386,3449
Q15911,3565,3703
Q15915,375,431
Q16650,43,83
Q16650,108,127
Q16650,447,483
Q16650,588,658
Q16832,452,471
Q6KC79,128,340
Q6KC79,482,946
Q6KC79,1017,1047
Q6KC79,1060,1191
Q6KC79,1691,1710
Q6KC79,2473,2520
Q6KC79,2651,2696
Q6UWE0,282,314
Q6UWE0,642,665
Q7Z333,1158,1219
Q7Z333,1237,1258
Q7Z333,1351,1385
Q7Z333,1579,1604
Q7Z333,2474,2496
Q7Z333,2556,2577
Q7Z333,2597,2677
Q7Z3K3,238,291
Q7Z3K3,332,361
Q7Z3K3,409,456
Q7Z3K3,693,715
Q7Z3K3,857,927
Q7Z3K3,942,969
Q7Z3K3,1360,1400
Q7Z4S6,556,641
Q7Z4S6,779,804
Q7Z4S6,841,881
Q7Z4S6,1116,1138
Q7Z4S6,1170,1318
Q7Z699,123,151
Q86UK5,36,76
Q86UK5,784,816
Q86XK2,1,132
Q86YC2,52,72
Q86YC2,95,157
Q86YC2,252,273
Q86YC2,346,365
Q86YC2,440,525
Q86YC2,679,698
Q86YC2,774,798
Q8IWN7,104,152
Q8IWN7,230,310
Q8IWN7,444,1064
Q8IWN7,1188,1251
Q8IWN7,1275,1501
Q8IWN7,1697,2400
Q8IZD2,217,269
Q8IZD2,475,530
Q8IZD2,630,687
Q8IZD2,887,960
Q8IZD2,1039,1068
Q8IZD2,1164,1561
Q8IZD2,1581,1835
Q8WXX7,1,87
Q8WXX7,108,285
Q8WXX7,299,470
Q8WXX7,771,1027
Q8WXX7,1119,1146
Q8WXX7,1217,1259
Q8WYB5,72,97
Q8WYB5,360,409
Q8WYB5,442,531
Q8WYB5,553,583
Q8WYB5,639,663
Q8WYB5,1022,1452
Q8WYB5,1484,1538
Q8WYB5,1580,1619
Q92508,738,769
Q92508,1356,1402
Q92508,1462,1498
Q92508,1576,1630
Q92508,1811,1921
Q92753,104,127
Q92785,79,146
Q92785,165,196
Q92785,233,266
Q92793,1,41
Q92793,74,179
Q92793,266,290
Q92793,794,1083
Q92793,1556,1615
Q92793,1874,1959
Q92793,1977,2028
Q92793,2112,2263
Q92793,2294,2433
Q92794,334,375
Q92794,441,464
Q92794,785,1445
Q92794,1461,1621
Q92794,1637,1721
Q92997,85,235
Q92997,546,691
Q96GM5,1,103
Q96JQ0,2065,2094
Q96JQ0,2986,3040
Q96JQ0,3062,3082
Q96JQ0,3233,3298
