"hgnc_symbol","ensembl_transcript_id","cds_length"
"AARS1","ENST00000261772",2907
"ABCA7","ENST00000263094",6441
"ABCB4","ENST00000649586",3840
"ABCC6","ENST00000620078",4512
"ABCC8","ENST00000389817",4746
"ABCC9","ENST00000261200",4650
"ABL1","ENST00000318560",3393
"ACTB","ENST00000646664",1128
"ACTL6B","ENST00000160382",1281
"ACTN1","ENST00000394419",2745
"ACTN2","ENST00000366578",2685
"ADGRL1","ENST00000672190",4425
"ADRB1","ENST00000369295",1434
"AFF4","ENST00000265343",3492
"AFP","ENST00000395792",1830
"AGO1","ENST00000373204",2574
"ALDH18A1","ENST00000371224",2388
"ALOX5","ENST00000610656",2025
"ALPK1","ENST00000650871",3735
"ALX4","ENST00000652299",1236
"ANGPT2","ENST00000629816",1488
"ANK1","ENST00000289734",5643
"ANLN","ENST00000265748",3375
"AP2S1","ENST00000263270",429
"AP4E1","ENST00000261842",3414
"APOB","ENST00000707961",13692
"ARCN1","ENST00000264028",1536
"ARFGEF1","ENST00000262215",5550
"ARHGAP31","ENST00000264245",4335
"ARID1B","ENST00000636930",7119
"ATP11A","ENST00000375645",3405
"ATP1A2","ENST00000361216",3063
"ATP2B1","ENST00000428670",3663
"ATP2C1","ENST00000510168",2760
"ATP6V0A1","ENST00000343619",2514
"ATP8B1","ENST00000648908",3756
"ATXN3","ENST00000644486",1086
"AURKA","ENST00000395915",1212
"BICRA","ENST00000594866",4683
"BRCA1","ENST00000357654",5592
"CACNA1G","ENST00000359106",7134
"CACNA1S","ENST00000362061",5622
"CALCR","ENST00000426151",1425
"CAMK2A","ENST00000671881",1470
"CAMK2B","ENST00000395749",2001
"CAPN3","ENST00000397163",2466
"CASP10","ENST00000286186",1569
"CASP8","ENST00000673742",1440
"CASR","ENST00000639785",3237
"CBFB","ENST00000412916",564
"CCDC88C","ENST00000389857",6087
"CCNK","ENST00000389879",1743
"CDC42","ENST00000656825",576
"CDH1","ENST00000261769",2649
"CDK13","ENST00000181839",4539
"CDON","ENST00000531738",3795
"CEBPE","ENST00000206513",846
"CELF2","ENST00000633077",1566
"CELSR1","ENST00000674500",9060
"CETP","ENST00000200676",1482
"CFH","ENST00000367429",3696
"CFTR","ENST00000003084",4443
"CHMP2B","ENST00000263780",642
"CIC","ENST00000681038",7554
"CLCN6","ENST00000346436",2610
"CLDN11","ENST00000064724",624
"CNOT3","ENST00000614649",2262
"COL11A1","ENST00000370096",5421
"COL17A1","ENST00000648076",4494
"COL4A4","ENST00000396625",5073
"COL9A2","ENST00000372748",2070
"COL9A3","ENST00000649368",2055
"COMT","ENST00000361682",816
"CPOX","ENST00000647941",1365
"CPSF1","ENST00000644539",4332
"CREB3L3","ENST00000078445",1386
"CREBBP","ENST00000262367",7329
"CRY1","ENST00000008527",1761
"CTNNA1","ENST00000302763",2721
"CUL3","ENST00000264414",2307
"CYFIP2","ENST00000620254",3762
"CYLD","ENST00000427738",2871
"DCN","ENST00000052754",1080
"DIP2B","ENST00000301180",4731
"DLX3","ENST00000434704",864
"DNAJB11","ENST00000265028",1077
"DNM1L","ENST00000549701",2211
"DNM2","ENST00000389253",2613
"DRD4","ENST00000611962",1260
"DSG2","ENST00000261590",3357
"DSP","ENST00000379802",8616
"EDN1","ENST00000379375",639
"EED","ENST00000263360",1326
"EFHC1","ENST00000371068",1923
"EIF2AK1","ENST00000199389",1893
"EIF2AK2","ENST00000233057",1656
"ELN","ENST00000252034",2175
"ELOVL1","ENST00000372458",840
"ELOVL5","ENST00000304434",900
"ELP1","ENST00000374647",3999
"EPB41L1","ENST00000338074",2646
"ERBB3","ENST00000267101",4029
"ESR1","ENST00000206249",1788
"EVC","ENST00000264956",2979
"FAS","ENST00000652046",1008
"FAT2","ENST00000261800",13050
"FBLN1","ENST00000327858",2112
"FBXW11","ENST00000517395",1692
"FCGR2B","ENST00000358671",933
"FGF10","ENST00000264664",627
"FGFR1","ENST00000447712",2469
"FGFR2","ENST00000358487",2466
"FGFR3","ENST00000440486",2421
"FH","ENST00000366560",1533
"FLT4","ENST00000261937",4092
"FOSL2","ENST00000264716",981
"FOXC1","ENST00000645831",1662
"FTL","ENST00000331825",528
"FUS","ENST00000254108",1581
"FUZ","ENST00000313777",1257
"GABRA1","ENST00000393943",1371
"GAL","ENST00000265643",372
"GANAB","ENST00000356638",2835
"GLI2","ENST00000361492",4710
"GNA11","ENST00000078429",1080
"GNAI3","ENST00000369851",1065
"GNAO1","ENST00000262493",1065
"GNAS","ENST00000371085",1185
"GNB1","ENST00000378609",1023
"GRHL2","ENST00000646743",1878
"GRN","ENST00000053867",1782
"GUCA1A","ENST00000372958",606
"GUCY2C","ENST00000261170",3222
"HAGH","ENST00000397356",927
"HAL","ENST00000261208",1974
"HCN2","ENST00000251287",2670
"HDAC4","ENST00000543185",3270
"HDAC9","ENST00000686413",3210
"HIVEP2","ENST00000367603",7341
"HMMR","ENST00000393915",2178
"HNRNPC","ENST00000553300",882
"HOXA11","ENST00000006015",942
"IFNGR1","ENST00000367739",1470
"IGF2BP2","ENST00000382199",1800
"IKZF5","ENST00000368886",1260
"IMPG2","ENST00000193391",3726
"ITGA2B","ENST00000262407",3120
"ITPR3","ENST00000605930",8016
"JAK2","ENST00000381652",3399
"JARID2","ENST00000341776",3741
"KAT6A","ENST00000265713",6015
"KCNH2","ENST00000262186",3480
"KCNN2","ENST00000673685",2376
"KCNQ1","ENST00000632153",517
"KCNQ2","ENST00000359125",2619
"KDM1A","ENST00000400181",2631
"KIF1B","ENST00000676179",5451
"KIF22","ENST00000160827",1998
"KIF2A","ENST00000407818",2235
"KITLG","ENST00000644744",822
"KMT2C","ENST00000262189",14736
"KMT2E","ENST00000311117",5577
"KRIT1","ENST00000394505",2211
"LRP6","ENST00000628182",4842
"LZTR1","ENST00000646124",2523
"MAP3K1","ENST00000399503",4539
"MAST3","ENST00000687212",4044
"MATR3","ENST00000394805",2544
"MCM2","ENST00000265056",2715
"MCM6","ENST00000264156",2466
"MCOLN1","ENST00000264079",1743
"MECOM","ENST00000651503",3720
"MEF2A","ENST00000557942",1518
"MEF2C","ENST00000504921",1422
"METTL13","ENST00000361735",2100
"MLH1","ENST00000231790",2271
"MLLT10","ENST00000307729",3207
"MPO","ENST00000225275",2238
"MSH2","ENST00000233146",2805
"MTAP","ENST00000644715",852
"MYH7","ENST00000355349",5808
"MYLK","ENST00000360304",5745
"MYO3A","ENST00000642920",4851
"MYOC","ENST00000037502",1515
"NCDN","ENST00000373243",2190
"NEDD4L","ENST00000400345",2928
"NFIX","ENST00000592199",1509
"NFKB2","ENST00000661543",2703
"NLRC4","ENST00000402280",3075
"NLRP1","ENST00000572272",4422
"NOTCH3","ENST00000263388",6966
"NSF","ENST00000611398",2235
"NTN1","ENST00000173229",1815
"OAS1","ENST00000202917",1203
"P4HA2","ENST00000360568",1602
"PAFAH1B1","ENST00000397195",1233
"PALB2","ENST00000261584",3561
"PAX2","ENST00000355243",1185
"PAX6","ENST00000640368",1311
"PER3","ENST00000377532",3633
"PITPNM3","ENST00000262483",2925
"PITX1","ENST00000265340",945
"PKD1","ENST00000262304",12912
"PKP2","ENST00000340811",2514
"POLD1","ENST00000440232",3324
"POLR1A","ENST00000263857",5163
"POLR3B","ENST00000228347",3402
"POLRMT","ENST00000588649",3693
"POU1F1","ENST00000350375",876
"POU4F3","ENST00000646991",1017
"PPP1R12A","ENST00000450142",3093
"PPP2R3C","ENST00000261475",1362
"PRDM6","ENST00000407847",1788
"PRKACA","ENST00000673550",1056
"PROM1","ENST00000447510",2598
"PSEN1","ENST00000324501",1404
"PTHLH","ENST00000545234",534
"RAB7A","ENST00000265062",624
"RAD51","ENST00000267868",1020
"RAD54L","ENST00000371975",2244
"RALA","ENST00000005257",621
"RARB","ENST00000330688",1347
"REEP1","ENST00000538924",855
"REST","ENST00000309042",3294
"RHOBTB2","ENST00000251822",2184
"RNF13","ENST00000392894",1146
"RORA","ENST00000335670",1572
"RPL18","ENST00000549920",567
"RRAGD","ENST00000369415",1203
"RRM2B","ENST00000251810",1056
"RTN4R","ENST00000043402",1422
"SCN4A","ENST00000435607",5511
"SDHA","ENST00000264932",1995
"SEC61A1","ENST00000243253",1431
"SEC63","ENST00000369002",2283
"SEMA3A","ENST00000265362",2316
"SERPIND1","ENST00000215727",1500
"SETD1A","ENST00000262519",5124
"SF3B2","ENST00000322535",2688
"SH3BP2","ENST00000503393",1686
"SLC12A2","ENST00000262461",3639
"SLC1A3","ENST00000265113",1629
"SLC25A24","ENST00000640416",1434
"SLC4A1","ENST00000262418",2736
"SLC7A9","ENST00000023064",1464
"SMARCA2","ENST00000349721",4773
"SMARCD1","ENST00000394963",1548
"SMARCE1","ENST00000348513",1236
"SNCB","ENST00000393693",405
"SPAST","ENST00000315285",1851
"SPEN","ENST00000375759",10995
"SPI1","ENST00000378538",813
"SPTB","ENST00000644917",6987
"SPTLC1","ENST00000262554",1422
"SRCAP","ENST00000262518",9693
"SREBF1","ENST00000261646",3444
"STARD7","ENST00000337288",1113
"STX1B","ENST00000215095",867
"SUPT16H","ENST00000216297",3144
"SYNE2","ENST00000555002",20724
"SYT1","ENST00000261205",1269
"TAB2","ENST00000637181",2082
"TBX5","ENST00000405440",1557
"TBXA2R","ENST00000375190",1032
"TCF3","ENST00000262965",1965
"TCOF1","ENST00000643257",4470
"TFAP2B","ENST00000393655",1383
"TGFB2","ENST00000366930",1245
"THOC1","ENST00000261600",1974
"THPO","ENST00000647395",1062
"TIE1","ENST00000372476",3417
"TINF2","ENST00000646576",1356
"TLL1","ENST00000061240",3042
"TMEM98","ENST00000579849",681
"TNC","ENST00000350763",6606
"TNFRSF1A","ENST00000162749",1368
"TNPO3","ENST00000265388",2772
"TNRC6A","ENST00000395799",5889
"TOP2B","ENST00000264331",4881
"TP63","ENST00000264731",2043
"TRIO","ENST00000344204",9294
"TRPM3","ENST00000677713",5160
"TRPM7","ENST00000646667",5598
"TUBA3D","ENST00000321253",1353
"TYR","ENST00000263321",1590
"U2AF2","ENST00000308924",1428
"UQCRC1","ENST00000203407",1443
"USP48","ENST00000308271",3108
"VCAN","ENST00000265077",10191
"VCL","ENST00000211998",3405
"VIM","ENST00000544301",1401
"VPS35","ENST00000299138",2391
"WAC","ENST00000354911",1944
"WBP11","ENST00000261167",1926
"WDR37","ENST00000263150",1485
"WNK1","ENST00000315939",7149
"ZCCHC8","ENST00000633063",2124
"ZFHX4","ENST00000651372",10851
"ZIC2","ENST00000376335",1599
"ZMYND11","ENST00000381604",1809
"AAGAB","ENST00000261880",948
"ABCC1","ENST00000621144",4596
"ACD","ENST00000620761",1377
"ACO2","ENST00000216254",2343
"ACTA2","ENST00000224784",1134
"ACVR1","ENST00000434821",1530
"ADNP","ENST00000621696",3309
"AIP","ENST00000279146",993
"AKT2","ENST00000392038",1446
"ALDH2","ENST00000261733",1554
"ANKRD26","ENST00000376087",5133
"APOA5","ENST00000227665",1101
"APOL1","ENST00000397278",1197
"APOL4","ENST00000683024",1047
"ARHGEF10","ENST00000610399",4110
"ASPN","ENST00000710274",1140
"ATN1","ENST00000396684",3573
"ATP1A3","ENST00000648268",3042
"ATP5F1B","ENST00000262030",1590
"ATP6V1A","ENST00000273398",1854
"AVP","ENST00000380293",495
"BACH2","ENST00000257749",2526
"BLVRA","ENST00000265523",891
"BMPR1A","ENST00000372037",1599
"C5","ENST00000223642",5031
"C9","ENST00000263408",1680
"CACNA1I","ENST00000402142",6672
"CARD8","ENST00000651546",1614
"CAV1","ENST00000341049",537
"CBL","ENST00000264033",2721
"CCL2","ENST00000225831",300
"CCND1","ENST00000227507",888
"CDKN1B","ENST00000228872",597
"CEP85L","ENST00000368491",2418
"CERT1","ENST00000643780",1875
"CHCHD2","ENST00000395422",456
"CHD4","ENST00000544040",5739
"CHD8","ENST00000646647",7746
"CHIC2","ENST00000263921",498
"CHMP4B","ENST00000217402",675
"CHRNA4","ENST00000370263",1884
"CHRNE","ENST00000649488",1482
"CILK1","ENST00000676107",1899
"CLCN2","ENST00000265593",2697
"CLCN3","ENST00000513761",2457
"CLCN7","ENST00000382745",2418
"CNOT2","ENST00000229195",1623
"COCH","ENST00000396618",1653
"COG4","ENST00000323786",2370
"COL12A1","ENST00000322507",9192
"COL1A1","ENST00000225964",4395
"COL7A1","ENST00000681320",8835
"COL9A1","ENST00000357250",2766
"COMP","ENST00000222271",2274
"CRX","ENST00000221996",900
"CRYAB","ENST00000650687",528
"CRYBA1","ENST00000225387",648
