"hgnc_symbol","ensembl_transcript_id","group","gc_content","nmdesc_gc_content"
"CFTR","ENST00000003084","snv",41.53,49.8
"KCNQ1","ENST00000155840","snv",64.2,68.64
"MYH9","ENST00000216181","snv",59.19,63.1
"AGO2","ENST00000220592","snv",56.71,57.86
"RP1","ENST00000220676","snv",39.5,36.97
"NAGLU","ENST00000225927","snv",64.61,62.41
"TGFB3","ENST00000238682","snv",54.8,57.89
"CDKN1B","ENST00000228872","snv",58.46,50.58
"MLH1","ENST00000231790","snv",46.46,47.71
"MSH6","ENST00000234420","snv",44.89,37.88
"WFS1","ENST00000226760","snv",62.48,61.55
"COL1A1","ENST00000225964","snv",65.05,59.39
"MVK","ENST00000228510","snv",59.36,64.85
"SALL1","ENST00000251020","snv",53.94,55.19
"MSH2","ENST00000233146","snv",41.28,33.94
"SOX9","ENST00000245479","snv",67.78,68.94
"FUS","ENST00000254108","snv",57.43,61.11
"PRPH2","ENST00000230381","snv",55.81,61.6
"MFN2","ENST00000235329","snv",54.66,47.5
"NOTCH2","ENST00000256646","snv",53.74,55.87
"GUCY2D","ENST00000254854","snv",65.1,65.94
"DSG2","ENST00000261590","snv",44.24,44.92
"NOTCH3","ENST00000263388","snv",66.42,69.08
"RPE65","ENST00000262340","snv",43.57,46.53
"TAOK1","ENST00000261716","snv",44.71,53.91
"FLT4","ENST00000261937","snv",62.46,60.24
"BRIP1","ENST00000259008","snv",38.67,35.87
"EP300","ENST00000263253","snv",51.55,57.88
"SLC3A1","ENST00000260649","snv",44.41,41.75
"TYR","ENST00000263321","snv",47.61,48.54
"AP4E1","ENST00000261842","snv",39.46,45.02
"KCNH2","ENST00000262186","snv",65.89,68.5
"BARD1","ENST00000260947","snv",43.92,48.3
"HNF1A","ENST00000257555","snv",64.29,62.92
"WNT10A","ENST00000258411","snv",66.59,69.71
"YY1","ENST00000262238","snv",58.39,45.92
"SLC4A1","ENST00000262418","snv",59.47,56.49
"CREBBP","ENST00000262367","snv",56.88,65.34
"PALB2","ENST00000261584","snv",42.63,47.89
"CDH1","ENST00000261769","snv",51.49,50.77
"VHL","ENST00000256474","snv",61.53,50.66
"PKD1","ENST00000262304","snv",67.24,68.53
"NARS1","ENST00000256854","snv",45.84,46.7
"PPM1D","ENST00000305921","snv",51.21,43.75
"FBXW7","ENST00000281708","snv",44.35,45.45
"ZFHX3","ENST00000268489","snv",56.24,61.21
"NAA15","ENST00000296543","snv",38.25,40.24
"PRPF8","ENST00000304992","snv",52.21,55.12
