design,pair_id,stratum,role,is_disease,hgnc_symbol,uniprot,ensembl_transcript_id,group,Pfam_flag,Protein_feature_flag,Structured_domain_flag,SLiM_flag,MoRF_flag,PTM_flag,NLS_flag,LCS_flag,PPI_flag,cds_length,NMDesc_region_length,exon_num,gc_content,nmdesc_gc_content,repeat_fraction,nmdesc_repeat_fraction,homopolymer_fraction,nmdesc_homopolymer_fraction,pfam_overlap_length,pfam_overlap_fraction,degree_centrality,pLI,oe_lof_upper,tau,n_flags_set,n_flags_available
matched,FS_0001,FS,case,1,DYNC1H1,Q14204,ENST00000360184,fs,1,1.0,1.0,,,1.0,,1.0,1.0,13941,6866,78,51.33,53.57,0.5899146402697081,0.5763180891348675,0.0441862133275948,0.0369938829012525,5205,0.7580833090591319,0.0458452722063037,1.0,0.08,0.6844755898207976,6.0,6
matched,FS_0001,FS,control,0,KMT2C,Q8NEZ4,ENST00000262189,fs_control,1,1.0,1.0,0.0,,0.0,0.0,0.0,1.0,14736,127,59,45.97,43.31,0.6138029315960912,0.6220472440944882,0.067114549402823,0.0629921259842519,86,0.6771653543307087,0.0802292263610315,1.0,0.122,0.5496189845132493,4.0,8
matched,FS_0002,FS,case,1,APOB,,ENST00000707961,fs,1,,,,,,,,,13692,1656,29,43.34,39.98,0.6125474729769208,0.626207729468599,0.0642711072158924,0.0664251207729468,168,0.1014492753623188,0.0487106017191977,1.9234e-16,0.461,0.9704626348087624,1.0,1
matched,FS_0002,FS,control,0,RYR2,Q92736,ENST00000366574,fs_control,0,0.0,0.0,,,1.0,,0.0,0.0,14904,179,105,46.22,39.11,0.5955448201825013,0.5921787709497207,0.0591787439613526,0.0837988826815642,0,0.0,0.0716332378223495,0.99999,0.25,0.941193915922766,1.0,6
matched,FS_0003,FS,case,1,PLEC,Q15149,ENST00000345136,fs,1,1.0,1.0,,,1.0,,1.0,0.0,13644,6258,32,66.91,65.79,0.6109645265318089,0.6129753914988815,0.0307094693638229,0.0370725471396612,2025,0.3235858101629913,0.0630372492836676,8.3469e-12,0.392,0.7337288861791247,5.0,6
matched,FS_0003,FS,control,0,KMT2A,Q03164,ENST00000534358,fs_control,1,1.0,1.0,0.0,,1.0,0.0,0.0,1.0,11919,169,36,48.12,47.93,0.6235422434768018,0.5443786982248521,0.0820538635791593,0.0236686390532544,131,0.7751479289940828,0.0515759312320916,1.0,0.065,0.6591032370191089,5.0,8
matched,FS_0004,FS,case,1,PKD1,P98161,ENST00000262304,fs,1,1.0,1.0,,,1.0,,1.0,1.0,12912,618,46,67.24,66.67,0.5923946716232962,0.6245954692556634,0.0589374225526641,0.0825242718446602,317,0.5129449838187702,0.0343839541547277,1.0,0.179,0.9242172827354568,6.0,6
matched,FS_0004,FS,control,0,ANK2,Q01484,ENST00000357077,fs_control,0,1.0,0.0,,,1.0,,1.0,0.0,11874,142,46,47.43,46.48,0.6109146033350177,0.5563380281690141,0.0715007579585649,0.028169014084507,0,0.0,0.0773638968481375,1.0,0.106,0.8724412440780537,3.0,6
matched,FS_0005,FS,case,1,FLG,P20930,ENST00000368799,fs,1,1.0,1.0,,,1.0,,1.0,1.0,12186,11963,3,55.1,55.49,0.5548990645002462,0.5523698069046226,0.0320039389463318,0.0309286968151801,3917,0.3274262308785421,0.0085959885386819,0.00028793,1.96,0.9912221042724564,6.0,6
matched,FS_0005,FS,control,0,TRRAP,,ENST00000456197,fs_control,1,,,,,,,,,11622,6960,73,53.05,54.51,0.5967131302701772,0.5862068965517241,0.0623816898984684,0.0610632183908046,5351,0.7688218390804598,0.0773638968481375,1.0,0.06,0.5973379037688377,1.0,1
