ID,Start,End
A6NHR9,1,23
O00139,66,139
O00139,165,186
O00400,1,46
O00411,18,55
O00411,95,115
O00411,731,750
O00548,653,702
O00555,818,1220
O00555,1988,2031
O00555,2043,2506
O00567,458,594
O14497,1,820
O14497,978,1005
O14497,1113,1483
O14497,1539,1603
O14497,1747,1774
O14497,1859,1907
O14529,114,167
O14529,415,481
O14529,517,549
O14529,661,690
O14529,716,758
O14529,800,858
O14529,964,1032
O14529,1231,1453
O14649,266,286
O14649,338,357
O14841,1248,1272
O14920,667,706
O14974,290,628
O14974,643,928
O15020,2081,2222
O15020,2331,2390
O15119,301,342
O15119,358,465
O15119,688,707
O15265,1,74
O15265,195,247
O15265,298,328
O15265,389,505
O15265,616,730
O15265,818,892
O15273,144,167
O15297,28,90
O15297,516,591
O15353,1,105
O15353,392,445
O15353,458,508
O15353,623,648
O15409,1,46
O15409,281,339
O15409,438,465
O15409,649,668
O15409,678,715
O43172,1,20
O43272,155,177
O43390,1,24
O43390,412,456
O43390,501,633
O43395,73,135
O43395,153,183
O43405,128,159
O43525,1,43
O43525,575,611
O43525,764,872
O43526,402,422
O43526,442,488
O43526,598,619
O43526,659,680
O43526,693,757
O43526,838,872
O43541,1,116
O43541,136,156
O43747,597,628
O43776,1,25
O43776,69,91
O60240,195,217
O60240,287,318
O60240,413,522
O60281,608,633
O60281,825,860
O60281,1331,1364
O60281,1588,1634
O60281,1986,2023
O60281,2074,2103
O60281,2285,2345
O60281,2441,2480
O60281,2530,2564
O60281,2606,2631
O60315,1,101
O60315,702,740
O60315,771,810
O60315,832,857
O60315,1117,1214
O60341,1,176
O60566,368,393
O60566,456,480
O60663,176,229
O60663,326,346
O60741,1,93
O60741,644,692
O60741,725,796
O60741,845,890
O60885,1,58
O60885,174,229
O60885,242,352
O60885,463,615
O60885,674,1100
O60885,1116,1339
O75030,1,54
O75030,496,526
O75204,1,27
O75369,244,267
O75444,57,84
O75444,175,222
O75444,354,373
O75603,155,213
O76024,1,86
O94910,400,434
O94910,1248,1273
O94910,1294,1328
O94910,1360,1429
O94910,1451,1474
O94925,68,118
O94925,647,669
O95163,1150,1208
O95243,1,36
O95259,855,886
O95259,962,989
O95263,18,41
O95263,72,95
O95263,393,436
O95409,406,452
O95409,475,532
O95622,1,195
O95817,1,92
O95817,123,200
O95817,240,421
O95817,532,575
O95935,30,141
O96028,149,170
O96028,376,455
O96028,516,658
O96028,1207,1232
O96028,1333,1365
P00747,126,145
P00747,396,416
P00748,298,359
P01042,387,555
P01127,216,241
P02452,98,1214
P02458,97,1237
P02462,48,459
P02462,504,1382
P02462,1404,1431
P02545,1,25
P02545,384,442
P02545,552,576
P02545,598,619
P02671,262,460
P02671,543,638
P02730,1,40
P02751,27,48
P02751,1660,1684
P02751,2149,2169
P04150,1,23
P04150,130,183
P04150,394,415
P05023,1,39
P05023,216,235
P05155,20,43
P05155,65,118
P05997,104,1268
P06213,686,708
P06213,746,766
P06213,1360,1382
P06400,1,42
P06400,610,632
P06400,860,928
P07204,484,506
P08069,1288,1367
P08123,28,1130
P08235,231,329
P08235,347,373
P08235,684,710
P08588,269,307
P08588,403,477
P08779,428,473
P10826,47,78
P10826,415,455
P10827,1,32
P10827,457,490
P10912,353,391
P11277,1,30
P11277,2074,2117
P11362,120,154
P11362,778,822
P12109,254,590
P12259,822,842
P12259,894,927
P12259,982,1001
P12259,1029,1048
P12259,1097,1157
P12259,1341,1367
P12883,1907,1935
P13569,654,831
P13569,1452,1480
P13645,1,24
P13645,453,584
P13942,227,303
P13942,330,465
P13942,485,1538
P14678,163,240
P15408,1,39
P15408,110,131
P15408,193,242
P15408,289,326
P15502,615,645
P15924,2810,2871
P16157,875,904
P16157,1486,1510
P16157,1583,1613
P16157,1637,1703
P16157,1718,1791
P16157,1840,1859
P16471,326,378
P16471,461,505
P16471,520,545
P17480,1,21
P17480,381,411
P17480,459,487
P17480,546,576
P17480,648,764
P17813,626,658
P18583,24,56
P18583,77,155
P18583,305,328
P18583,406,442
P18583,1144,1236
P18583,1645,1722
P18583,1754,2054
P18583,2200,2220
P19235,467,494
P19838,425,453
P20020,297,356
P20020,1160,1220
P20807,7,37
P20807,609,652
P20908,242,269
P20908,281,457
P20908,470,520
P20908,526,545
P20908,559,1574
P20930,92,212
P20930,255,3971
P21359,2787,2839
P21754,330,356
P23769,119,209
P23769,448,480
P23771,1,29
P23771,128,180
